Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Inversiones,Costo,Permutación
1,2.04369e-06,2.23172e-06,1.91235e-06,50,100,100,448084,13 7 11 10 2 0 3 1 5 8 12 4 6 14 9 
2,2.04674e-06,2.23172e-06,1.89151e-06,50,100,100,448084,13 7 11 10 2 0 3 1 5 8 12 4 6 14 9 
3,2.06033e-06,2.25e-06,1.88797e-06,50,100,100,444444,2 7 11 10 13 0 3 1 5 8 12 4 6 14 9 
4,2.05803e-06,2.31559e-06,1.91774e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
5,2.05717e-06,2.31559e-06,1.89112e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
6,2.06163e-06,2.31559e-06,1.91587e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
7,2.06424e-06,2.31559e-06,1.95861e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
8,2.0544e-06,2.31559e-06,1.90763e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
9,2.05301e-06,2.31559e-06,1.90232e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
10,2.06435e-06,2.31559e-06,1.92386e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
11,2.05185e-06,2.31559e-06,1.88716e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
12,2.0577e-06,2.31559e-06,1.90438e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
13,2.05987e-06,2.31559e-06,1.88891e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
14,2.06472e-06,2.31559e-06,1.89909e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
15,2.064e-06,2.31559e-06,1.88648e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
16,2.074e-06,2.31559e-06,1.89758e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
17,2.0651e-06,2.31559e-06,1.91262e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
18,2.06985e-06,2.31559e-06,1.92528e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
19,2.06322e-06,2.31559e-06,1.86332e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
20,2.06027e-06,2.31559e-06,1.91901e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
21,2.05659e-06,2.31559e-06,1.91603e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
22,2.06147e-06,2.31559e-06,1.89395e-06,50,100,100,431854,2 7 11 0 13 10 3 8 1 5 12 4 6 14 9 
