Generación,Costo,Permutación
1,2.11423e+06,1 22 12 20 29 13 2 6 18 7 9 17 25 27 19 11 14 8 4 21 0 26 3 10 28 24 16 23 15 5 
2,2.10051e+06,1 28 17 5 4 9 22 19 23 3 11 24 6 12 10 26 15 2 29 20 16 0 8 25 21 14 13 18 27 7 
3,2.10051e+06,1 28 17 5 4 9 22 19 23 3 11 24 6 12 10 26 15 2 29 20 16 0 8 25 21 14 13 18 27 7 
4,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
5,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
6,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
7,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
8,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
9,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
10,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
11,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
12,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
13,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
14,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
15,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
16,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
17,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
18,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
19,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
20,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
21,2.08864e+06,10 17 18 20 19 2 6 29 24 23 9 11 28 1 14 12 21 27 4 16 7 25 3 13 15 22 8 26 5 0 
22,2.08564e+06,20 14 6 4 19 12 29 28 22 27 1 23 2 5 17 11 25 24 26 16 8 9 7 15 0 21 10 18 3 13 
23,2.07273e+06,14 13 9 26 23 20 16 12 7 17 22 0 11 24 2 27 1 21 5 3 25 29 15 18 28 10 8 6 19 4 
24,2.07273e+06,14 13 9 26 23 20 16 12 7 17 22 0 11 24 2 27 1 21 5 3 25 29 15 18 28 10 8 6 19 4 
25,2.07273e+06,14 13 9 26 23 20 16 12 7 17 22 0 11 24 2 27 1 21 5 3 25 29 15 18 28 10 8 6 19 4 
26,2.07273e+06,14 13 9 26 23 20 16 12 7 17 22 0 11 24 2 27 1 21 5 3 25 29 15 18 28 10 8 6 19 4 
27,2.07273e+06,14 13 9 26 23 20 16 12 7 17 22 0 11 24 2 27 1 21 5 3 25 29 15 18 28 10 8 6 19 4 
28,2.07273e+06,14 13 9 26 23 20 16 12 7 17 22 0 11 24 2 27 1 21 5 3 25 29 15 18 28 10 8 6 19 4 
