Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Inversiones,Costo,Permutación
1,3.24484e-06,3.73554e-06,2.96243e-06,50,100,100,267698,3 5 6 2 10 8 1 0 9 4 11 7 
2,3.24827e-06,3.76151e-06,2.9225e-06,50,100,100,265850,5 9 3 0 11 4 6 2 7 1 8 10 
3,3.27935e-06,3.95321e-06,2.98856e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
4,3.27706e-06,3.95321e-06,2.87009e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
5,3.30549e-06,3.95321e-06,2.96045e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
6,3.28113e-06,3.95321e-06,2.97496e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
7,3.31717e-06,3.95321e-06,3.00227e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
8,3.26967e-06,3.95321e-06,2.98014e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
9,3.26885e-06,3.95321e-06,3.01335e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
10,3.31718e-06,3.95321e-06,2.91747e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
11,3.30276e-06,3.95321e-06,2.99945e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
12,3.29056e-06,3.95321e-06,2.97758e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
13,3.29344e-06,3.95321e-06,2.94418e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
14,3.29461e-06,3.95321e-06,2.9323e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
15,3.30954e-06,3.95321e-06,2.96663e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
16,3.33552e-06,3.95321e-06,3.04621e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
17,3.30933e-06,3.95321e-06,2.95139e-06,50,100,100,252958,6 11 3 0 1 9 5 8 7 4 2 10 
18,3.34616e-06,4.00607e-06,2.99311e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
19,3.31137e-06,4.00607e-06,2.93043e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
20,3.30616e-06,4.00607e-06,2.96999e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
21,3.31907e-06,4.00607e-06,2.98903e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
22,3.30005e-06,4.00607e-06,2.94041e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
23,3.31267e-06,4.00607e-06,3.00173e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
24,3.30899e-06,4.00607e-06,2.9289e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
25,3.34362e-06,4.00607e-06,3.03322e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
26,3.34964e-06,4.00607e-06,2.95694e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
27,3.35081e-06,4.00607e-06,2.93857e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
28,3.33713e-06,4.00607e-06,3.04582e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
29,3.29962e-06,4.00607e-06,2.98601e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
30,3.33722e-06,4.00607e-06,2.98047e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
31,3.35425e-06,4.00607e-06,2.94129e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
32,3.33985e-06,4.00607e-06,2.95502e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
33,3.34364e-06,4.00607e-06,2.99112e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
34,3.32668e-06,4.00607e-06,2.93143e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
35,3.32828e-06,4.00607e-06,3.00272e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
36,3.37283e-06,4.00607e-06,3.04357e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
37,3.348e-06,4.00607e-06,3.05794e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
38,3.31033e-06,4.00607e-06,2.95406e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
39,3.3083e-06,4.00607e-06,2.99571e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
40,3.32803e-06,4.00607e-06,2.94713e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
41,3.33982e-06,4.00607e-06,3.01235e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
42,3.3209e-06,4.00607e-06,2.95413e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
43,3.3235e-06,4.00607e-06,2.979e-06,50,100,100,249620,6 11 3 0 1 9 4 8 7 5 2 10 
44,3.36521e-06,4.0108e-06,2.9176e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
45,3.33043e-06,4.0108e-06,3.02209e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
46,3.29767e-06,4.0108e-06,2.97255e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
47,3.2739e-06,4.0108e-06,2.93859e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
48,3.27053e-06,4.0108e-06,2.97726e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
49,3.32515e-06,4.0108e-06,2.94755e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
50,3.33618e-06,4.0108e-06,3.02879e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
51,3.3358e-06,4.0108e-06,2.96404e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
52,3.33411e-06,4.0108e-06,3.02245e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
53,3.35269e-06,4.0108e-06,2.91832e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
54,3.35847e-06,4.0108e-06,2.97843e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
55,3.36603e-06,4.0108e-06,2.99164e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
56,3.34938e-06,4.0108e-06,3.01233e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
57,3.34416e-06,4.0108e-06,3.02278e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
58,3.34907e-06,4.0108e-06,2.95663e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
59,3.34442e-06,4.0108e-06,2.91466e-06,50,100,100,249326,6 1 3 0 11 4 9 5 7 8 2 10 
