primera evaluacion f(0.324129, 0.507535) = -0.203
evaluacion 0: f(0.324129, 0.507535) = -0.203
evaluacion 1: f(0.324129, 0.507535) = -0.203
evaluacion 2: f(0.324129, 0.507535) = -0.203
evaluacion 3: f(0.324129, 0.507535) = -0.203
evaluacion 4: f(0.324129, 0.507535) = -0.203
evaluacion 5: f(0.324129, 0.507535) = -0.203
evaluacion 6: f(0.324129, 0.507535) = -0.203
evaluacion 7: f(-0.205535, -0.431099) = -0.351369
evaluacion 8: f(-0.205535, -0.431099) = -0.351369
evaluacion 9: f(-0.205535, -0.431099) = -0.351369
evaluacion 10: f(-0.417922, 0.515898) = -0.360514
evaluacion 11: f(-0.417922, 0.515898) = -0.360514
evaluacion 12: f(-0.417922, 0.515898) = -0.360514
evaluacion 13: f(-0.417922, 0.515898) = -0.360514
evaluacion 14: f(-0.417922, 0.515898) = -0.360514
evaluacion 15: f(-0.417922, 0.515898) = -0.360514
evaluacion 16: f(-0.417922, 0.515898) = -0.360514
evaluacion 17: f(-0.147704, 0.336416) = -0.364888
evaluacion 18: f(-0.248645, 0.535365) = -0.711634
evaluacion 19: f(-0.248645, 0.535365) = -0.711634
evaluacion 20: f(-0.248645, 0.535365) = -0.711634
evaluacion 21: f(-0.248645, 0.535365) = -0.711634
evaluacion 22: f(-0.248645, 0.535365) = -0.711634
evaluacion 23: f(-0.302614, 0.617465) = -0.781514
evaluacion 24: f(-0.302614, 0.617465) = -0.781514
evaluacion 25: f(-0.302614, 0.617465) = -0.781514
evaluacion 26: f(-0.302614, 0.617465) = -0.781514
evaluacion 27: f(-0.302614, 0.617465) = -0.781514
evaluacion 28: f(-0.302614, 0.617465) = -0.781514
evaluacion 29: f(-0.302614, 0.617465) = -0.781514
evaluacion 30: f(-0.302614, 0.617465) = -0.781514
evaluacion 31: f(-0.302614, 0.617465) = -0.781514
evaluacion 32: f(-0.302614, 0.617465) = -0.781514
evaluacion 33: f(-0.302614, 0.617465) = -0.781514
evaluacion 34: f(-0.302614, 0.617465) = -0.781514
evaluacion 35: f(-0.302614, 0.617465) = -0.781514
evaluacion 36: f(-0.302614, 0.617465) = -0.781514
evaluacion 37: f(-0.302614, 0.617465) = -0.781514
evaluacion 38: f(-0.302614, 0.617465) = -0.781514
evaluacion 39: f(-0.302614, 0.617465) = -0.781514
evaluacion 40: f(-0.302614, 0.617465) = -0.781514
evaluacion 41: f(-0.302614, 0.617465) = -0.781514
evaluacion 42: f(-0.302614, 0.617465) = -0.781514
evaluacion 43: f(-0.302614, 0.617465) = -0.781514
evaluacion 44: f(-0.302614, 0.617465) = -0.781514
