primera evaluacion f(-0.243764, 1.3023) = 4.63448
evaluacion 0: f(-0.243764, 1.3023) = 4.63448
evaluacion 1: f(0.833651, 1.08468) = 3.6125
evaluacion 2: f(-0.705036, 0.795129) = 0.0197107
evaluacion 3: f(-0.705036, 0.795129) = 0.0197107
evaluacion 4: f(-0.705036, 0.795129) = 0.0197107
evaluacion 5: f(-0.0114138, -0.930171) = -0.455324
evaluacion 6: f(-0.0114138, -0.930171) = -0.455324
evaluacion 7: f(-0.0114138, -0.930171) = -0.455324
evaluacion 8: f(-0.0114138, -0.930171) = -0.455324
evaluacion 9: f(-0.0114138, -0.930171) = -0.455324
evaluacion 10: f(-0.0114138, -0.930171) = -0.455324
evaluacion 11: f(-0.0114138, -0.930171) = -0.455324
evaluacion 12: f(-0.0114138, -0.930171) = -0.455324
evaluacion 13: f(-0.0114138, -0.930171) = -0.455324
evaluacion 14: f(-0.0114138, -0.930171) = -0.455324
evaluacion 15: f(-0.0114138, -0.930171) = -0.455324
evaluacion 16: f(-0.0114138, -0.930171) = -0.455324
evaluacion 17: f(-0.0114138, -0.930171) = -0.455324
evaluacion 18: f(0.0115452, -0.496755) = -0.748692
evaluacion 19: f(0.0115452, -0.496755) = -0.748692
evaluacion 20: f(0.0115452, -0.496755) = -0.748692
evaluacion 21: f(0.0757008, -0.600914) = -0.945461
evaluacion 22: f(0.0757008, -0.600914) = -0.945461
evaluacion 23: f(0.0757008, -0.600914) = -0.945461
evaluacion 24: f(0.0757008, -0.600914) = -0.945461
evaluacion 25: f(0.0757008, -0.600914) = -0.945461
evaluacion 26: f(0.0757008, -0.600914) = -0.945461
evaluacion 27: f(0.0757008, -0.600914) = -0.945461
evaluacion 28: f(0.0757008, -0.600914) = -0.945461
evaluacion 29: f(0.0757008, -0.600914) = -0.945461
evaluacion 30: f(0.0757008, -0.600914) = -0.945461
evaluacion 31: f(0.0757008, -0.600914) = -0.945461
evaluacion 32: f(0.0757008, -0.600914) = -0.945461
evaluacion 33: f(0.0757008, -0.600914) = -0.945461
evaluacion 34: f(0.0757008, -0.600914) = -0.945461
evaluacion 35: f(0.0757008, -0.600914) = -0.945461
evaluacion 36: f(0.0757008, -0.600914) = -0.945461
evaluacion 37: f(0.0757008, -0.600914) = -0.945461
evaluacion 38: f(0.0757008, -0.600914) = -0.945461
evaluacion 39: f(0.0757008, -0.600914) = -0.945461
evaluacion 40: f(0.0757008, -0.600914) = -0.945461
evaluacion 41: f(0.0757008, -0.600914) = -0.945461
evaluacion 42: f(0.0757008, -0.600914) = -0.945461
evaluacion 43: f(0.0757008, -0.600914) = -0.945461
evaluacion 44: f(0.0757008, -0.600914) = -0.945461
evaluacion 45: f(0.0757008, -0.600914) = -0.945461
evaluacion 46: f(0.0757008, -0.600914) = -0.945461
evaluacion 47: f(0.0757008, -0.600914) = -0.945461
evaluacion 48: f(0.0757008, -0.600914) = -0.945461
evaluacion 49: f(0.0757008, -0.600914) = -0.945461
evaluacion 50: f(0.0757008, -0.600914) = -0.945461
evaluacion 51: f(0.0757008, -0.600914) = -0.945461
evaluacion 52: f(0.0757008, -0.600914) = -0.945461
evaluacion 53: f(0.0757008, -0.600914) = -0.945461
evaluacion 54: f(0.0757008, -0.600914) = -0.945461
evaluacion 55: f(0.0757008, -0.600914) = -0.945461
evaluacion 56: f(0.0757008, -0.600914) = -0.945461
evaluacion 57: f(0.0757008, -0.600914) = -0.945461
evaluacion 58: f(0.0757008, -0.600914) = -0.945461
evaluacion 59: f(0.0757008, -0.600914) = -0.945461
evaluacion 60: f(0.0757008, -0.600914) = -0.945461
evaluacion 61: f(0.0757008, -0.600914) = -0.945461
evaluacion 62: f(0.0757008, -0.600914) = -0.945461
evaluacion 63: f(0.0757008, -0.600914) = -0.945461
evaluacion 64: f(0.0757008, -0.600914) = -0.945461
evaluacion 65: f(0.0757008, -0.600914) = -0.945461
evaluacion 66: f(0.0757008, -0.600914) = -0.945461
evaluacion 67: f(-0.037112, -0.709023) = -0.968152
evaluacion 68: f(-0.037112, -0.709023) = -0.968152
evaluacion 69: f(-0.037112, -0.709023) = -0.968152
evaluacion 70: f(-0.037112, -0.709023) = -0.968152
evaluacion 71: f(-0.037112, -0.709023) = -0.968152
evaluacion 72: f(-0.0143059, -0.739027) = -0.980086
evaluacion 73: f(0.00565623, -0.704987) = -1.00382
evaluacion 74: f(0.00565623, -0.704987) = -1.00382
evaluacion 75: f(0.00565623, -0.704987) = -1.00382
evaluacion 76: f(0.00565623, -0.704987) = -1.00382
evaluacion 77: f(0.00565623, -0.704987) = -1.00382
evaluacion 78: f(0.00565623, -0.704987) = -1.00382
evaluacion 79: f(0.00565623, -0.704987) = -1.00382
evaluacion 80: f(0.0808068, -0.744373) = -1.02242
evaluacion 81: f(0.0808068, -0.744373) = -1.02242
evaluacion 82: f(0.0808068, -0.744373) = -1.02242
evaluacion 83: f(0.0808068, -0.744373) = -1.02242
evaluacion 84: f(0.0808068, -0.744373) = -1.02242
evaluacion 85: f(0.097629, -0.742447) = -1.02405
evaluacion 86: f(0.097629, -0.742447) = -1.02405
evaluacion 87: f(0.097629, -0.742447) = -1.02405
evaluacion 88: f(0.097629, -0.742447) = -1.02405
evaluacion 89: f(0.097629, -0.742447) = -1.02405
evaluacion 90: f(0.097629, -0.742447) = -1.02405
evaluacion 91: f(0.097629, -0.742447) = -1.02405
evaluacion 92: f(0.097629, -0.742447) = -1.02405
evaluacion 93: f(0.097629, -0.742447) = -1.02405
evaluacion 94: f(0.097629, -0.742447) = -1.02405
evaluacion 95: f(0.097629, -0.742447) = -1.02405
evaluacion 96: f(0.097629, -0.742447) = -1.02405
evaluacion 97: f(0.097629, -0.742447) = -1.02405
evaluacion 98: f(0.097629, -0.742447) = -1.02405
evaluacion 99: f(0.097629, -0.742447) = -1.02405
