primera evaluacion f(0.388637, 0.133796) = 0.539071
evaluacion 0: f(0.388637, 0.133796) = 0.539071
evaluacion 1: f(0.388637, 0.133796) = 0.539071
evaluacion 2: f(0.388637, 0.133796) = 0.539071
evaluacion 3: f(0.388637, 0.133796) = 0.539071
evaluacion 4: f(-0.129822, -0.868529) = -0.561665
evaluacion 5: f(-0.129822, -0.868529) = -0.561665
evaluacion 6: f(-0.0100814, 0.600662) = -0.928137
evaluacion 7: f(-0.0100814, 0.600662) = -0.928137
evaluacion 8: f(-0.0100814, 0.600662) = -0.928137
evaluacion 9: f(-0.0100814, 0.600662) = -0.928137
evaluacion 10: f(-0.0100814, 0.600662) = -0.928137
evaluacion 11: f(-0.0100814, 0.600662) = -0.928137
evaluacion 12: f(-0.0100814, 0.600662) = -0.928137
evaluacion 13: f(-0.0100814, 0.600662) = -0.928137
evaluacion 14: f(-0.0100814, 0.600662) = -0.928137
evaluacion 15: f(-0.0100814, 0.600662) = -0.928137
evaluacion 16: f(-0.0100814, 0.600662) = -0.928137
evaluacion 17: f(-0.0100814, 0.600662) = -0.928137
evaluacion 18: f(-0.0100814, 0.600662) = -0.928137
evaluacion 19: f(-0.0100814, 0.600662) = -0.928137
evaluacion 20: f(-0.0100814, 0.600662) = -0.928137
evaluacion 21: f(-0.0100814, 0.600662) = -0.928137
evaluacion 22: f(-0.0100814, 0.600662) = -0.928137
evaluacion 23: f(-0.0100814, 0.600662) = -0.928137
evaluacion 24: f(-0.0100814, 0.600662) = -0.928137
evaluacion 25: f(-0.0100814, 0.600662) = -0.928137
evaluacion 26: f(-0.0100814, 0.600662) = -0.928137
evaluacion 27: f(-0.0100814, 0.600662) = -0.928137
evaluacion 28: f(-0.0100814, 0.600662) = -0.928137
evaluacion 29: f(-0.0100814, 0.600662) = -0.928137
evaluacion 30: f(-0.0100814, 0.600662) = -0.928137
evaluacion 31: f(-0.0100814, 0.600662) = -0.928137
evaluacion 32: f(-0.0942174, 0.627555) = -0.978691
evaluacion 33: f(-0.0942174, 0.627555) = -0.978691
evaluacion 34: f(-0.0942174, 0.627555) = -0.978691
evaluacion 35: f(-0.0942174, 0.627555) = -0.978691
evaluacion 36: f(-0.0898108, 0.707076) = -1.03138
evaluacion 37: f(-0.0898108, 0.707076) = -1.03138
evaluacion 38: f(-0.0898108, 0.707076) = -1.03138
evaluacion 39: f(-0.0898108, 0.707076) = -1.03138
evaluacion 40: f(-0.0898108, 0.707076) = -1.03138
evaluacion 41: f(-0.0898108, 0.707076) = -1.03138
evaluacion 42: f(-0.0898108, 0.707076) = -1.03138
evaluacion 43: f(-0.0898108, 0.707076) = -1.03138
evaluacion 44: f(-0.0898108, 0.707076) = -1.03138
evaluacion 45: f(-0.0898108, 0.707076) = -1.03138
evaluacion 46: f(-0.0898108, 0.707076) = -1.03138
evaluacion 47: f(-0.0898108, 0.707076) = -1.03138
evaluacion 48: f(-0.0898108, 0.707076) = -1.03138
evaluacion 49: f(-0.0898108, 0.707076) = -1.03138
evaluacion 50: f(-0.0898108, 0.707076) = -1.03138
evaluacion 51: f(-0.0898108, 0.707076) = -1.03138
evaluacion 52: f(-0.0898108, 0.707076) = -1.03138
evaluacion 53: f(-0.0898108, 0.707076) = -1.03138
evaluacion 54: f(-0.0898108, 0.707076) = -1.03138
evaluacion 55: f(-0.0898108, 0.707076) = -1.03138
evaluacion 56: f(-0.0827234, 0.709664) = -1.03138
evaluacion 57: f(-0.0874358, 0.715694) = -1.03152
evaluacion 58: f(-0.094051, 0.711878) = -1.03155
evaluacion 59: f(-0.094051, 0.711878) = -1.03155
evaluacion 60: f(-0.094051, 0.711878) = -1.03155
evaluacion 61: f(-0.094051, 0.711878) = -1.03155
evaluacion 62: f(-0.094051, 0.711878) = -1.03155
evaluacion 63: f(-0.0930012, 0.712139) = -1.03159
evaluacion 64: f(-0.0930012, 0.712139) = -1.03159
evaluacion 65: f(-0.0930012, 0.712139) = -1.03159
evaluacion 66: f(-0.0930012, 0.712139) = -1.03159
evaluacion 67: f(-0.0930012, 0.712139) = -1.03159
evaluacion 68: f(-0.0930012, 0.712139) = -1.03159
evaluacion 69: f(-0.0930012, 0.712139) = -1.03159
evaluacion 70: f(-0.0930012, 0.712139) = -1.03159
evaluacion 71: f(-0.0930012, 0.712139) = -1.03159
evaluacion 72: f(-0.0916877, 0.714212) = -1.0316
evaluacion 73: f(-0.0916877, 0.714212) = -1.0316
evaluacion 74: f(-0.0916877, 0.714212) = -1.0316
evaluacion 75: f(-0.0916877, 0.714212) = -1.0316
evaluacion 76: f(-0.0899112, 0.713192) = -1.03163
evaluacion 77: f(-0.0900169, 0.71314) = -1.03163
evaluacion 78: f(-0.0900169, 0.71314) = -1.03163
evaluacion 79: f(-0.0900169, 0.71314) = -1.03163
evaluacion 80: f(-0.0900318, 0.712907) = -1.03163
evaluacion 81: f(-0.0900318, 0.712907) = -1.03163
evaluacion 82: f(-0.0900318, 0.712907) = -1.03163
evaluacion 83: f(-0.0900318, 0.712907) = -1.03163
evaluacion 84: f(-0.0900318, 0.712907) = -1.03163
evaluacion 85: f(-0.0900318, 0.712907) = -1.03163
evaluacion 86: f(-0.0900318, 0.712907) = -1.03163
evaluacion 87: f(-0.0900318, 0.712907) = -1.03163
evaluacion 88: f(-0.0900318, 0.712907) = -1.03163
evaluacion 89: f(-0.0900318, 0.712907) = -1.03163
evaluacion 90: f(-0.0900318, 0.712907) = -1.03163
evaluacion 91: f(-0.0900318, 0.712907) = -1.03163
evaluacion 92: f(-0.0900318, 0.712907) = -1.03163
evaluacion 93: f(-0.0900318, 0.712907) = -1.03163
evaluacion 94: f(-0.0900318, 0.712907) = -1.03163
evaluacion 95: f(-0.0900318, 0.712907) = -1.03163
evaluacion 96: f(-0.0900318, 0.712907) = -1.03163
evaluacion 97: f(-0.0900318, 0.712907) = -1.03163
evaluacion 98: f(-0.0900318, 0.712907) = -1.03163
evaluacion 99: f(-0.0900318, 0.712907) = -1.03163
