primera evaluacion f(0.198283, -1.19003) = 2.27549
evaluacion 0: f(0.198283, -1.19003) = 2.27549
evaluacion 1: f(0.198283, -1.19003) = 2.27549
evaluacion 2: f(0.198283, -1.19003) = 2.27549
evaluacion 3: f(0.198283, -1.19003) = 2.27549
evaluacion 4: f(-0.280588, 0.753476) = -0.891004
evaluacion 5: f(-0.280588, 0.753476) = -0.891004
evaluacion 6: f(-0.280588, 0.753476) = -0.891004
evaluacion 7: f(-0.280588, 0.753476) = -0.891004
evaluacion 8: f(-0.280588, 0.753476) = -0.891004
evaluacion 9: f(-0.280588, 0.753476) = -0.891004
evaluacion 10: f(-0.280588, 0.753476) = -0.891004
evaluacion 11: f(-0.280588, 0.753476) = -0.891004
evaluacion 12: f(-0.280588, 0.753476) = -0.891004
evaluacion 13: f(-0.280588, 0.753476) = -0.891004
evaluacion 14: f(-0.280588, 0.753476) = -0.891004
evaluacion 15: f(-0.280588, 0.753476) = -0.891004
evaluacion 16: f(-0.280588, 0.753476) = -0.891004
evaluacion 17: f(-0.280588, 0.753476) = -0.891004
evaluacion 18: f(-0.280588, 0.753476) = -0.891004
evaluacion 19: f(-0.280588, 0.753476) = -0.891004
evaluacion 20: f(-0.280588, 0.753476) = -0.891004
evaluacion 21: f(-0.280588, 0.753476) = -0.891004
evaluacion 22: f(-0.280588, 0.753476) = -0.891004
evaluacion 23: f(-0.280588, 0.753476) = -0.891004
evaluacion 24: f(-0.280588, 0.753476) = -0.891004
evaluacion 25: f(-0.280588, 0.753476) = -0.891004
evaluacion 26: f(-0.255531, 0.709628) = -0.928957
evaluacion 27: f(-0.255531, 0.709628) = -0.928957
evaluacion 28: f(-0.255531, 0.709628) = -0.928957
evaluacion 29: f(-0.255531, 0.709628) = -0.928957
evaluacion 30: f(-0.255531, 0.709628) = -0.928957
evaluacion 31: f(-0.0376668, 0.699127) = -1.02016
evaluacion 32: f(-0.0376668, 0.699127) = -1.02016
evaluacion 33: f(-0.0376668, 0.699127) = -1.02016
evaluacion 34: f(-0.0376668, 0.699127) = -1.02016
evaluacion 35: f(-0.0376668, 0.699127) = -1.02016
evaluacion 36: f(-0.0376668, 0.699127) = -1.02016
evaluacion 37: f(-0.0376668, 0.699127) = -1.02016
evaluacion 38: f(-0.0463666, 0.713536) = -1.02416
evaluacion 39: f(-0.0463666, 0.713536) = -1.02416
evaluacion 40: f(-0.0463666, 0.713536) = -1.02416
evaluacion 41: f(-0.0463666, 0.713536) = -1.02416
evaluacion 42: f(-0.0463666, 0.713536) = -1.02416
evaluacion 43: f(-0.0463666, 0.713536) = -1.02416
evaluacion 44: f(-0.0463666, 0.713536) = -1.02416
evaluacion 45: f(-0.0463666, 0.713536) = -1.02416
evaluacion 46: f(-0.0907171, 0.716765) = -1.03149
evaluacion 47: f(-0.0907171, 0.716765) = -1.03149
evaluacion 48: f(-0.0907171, 0.716765) = -1.03149
evaluacion 49: f(-0.0907171, 0.716765) = -1.03149
evaluacion 50: f(-0.0907171, 0.716765) = -1.03149
evaluacion 51: f(-0.0907171, 0.716765) = -1.03149
evaluacion 52: f(-0.0907171, 0.716765) = -1.03149
evaluacion 53: f(-0.0907171, 0.716765) = -1.03149
evaluacion 54: f(-0.0907171, 0.716765) = -1.03149
evaluacion 55: f(-0.0907171, 0.716765) = -1.03149
evaluacion 56: f(-0.0907171, 0.716765) = -1.03149
evaluacion 57: f(-0.0907171, 0.716765) = -1.03149
evaluacion 58: f(-0.0907171, 0.716765) = -1.03149
evaluacion 59: f(-0.0907171, 0.716765) = -1.03149
evaluacion 60: f(-0.0907171, 0.716765) = -1.03149
evaluacion 61: f(-0.0907171, 0.716765) = -1.03149
evaluacion 62: f(-0.0907171, 0.716765) = -1.03149
evaluacion 63: f(-0.0907171, 0.716765) = -1.03149
evaluacion 64: f(-0.0876161, 0.714411) = -1.03158
evaluacion 65: f(-0.0876161, 0.714411) = -1.03158
evaluacion 66: f(-0.0876161, 0.714411) = -1.03158
evaluacion 67: f(-0.0876161, 0.714411) = -1.03158
evaluacion 68: f(-0.0876161, 0.714411) = -1.03158
evaluacion 69: f(-0.0871487, 0.711358) = -1.03159
evaluacion 70: f(-0.0871487, 0.711358) = -1.03159
evaluacion 71: f(-0.0868343, 0.713124) = -1.03159
