primera evaluacion f(0.0358039, 1.27825) = 4.19408
evaluacion 0: f(-0.0567041, -1.10356) = 1.13661
evaluacion 1: f(0.286405, 0.76621) = -0.43606
evaluacion 2: f(0.286405, 0.76621) = -0.43606
evaluacion 3: f(0.286405, 0.76621) = -0.43606
evaluacion 4: f(0.124089, -0.565776) = -0.879659
evaluacion 5: f(0.124089, -0.565776) = -0.879659
evaluacion 6: f(0.124089, -0.565776) = -0.879659
evaluacion 7: f(0.124089, -0.565776) = -0.879659
evaluacion 8: f(0.124089, -0.565776) = -0.879659
evaluacion 9: f(0.124089, -0.565776) = -0.879659
evaluacion 10: f(0.124089, -0.565776) = -0.879659
evaluacion 11: f(0.124089, -0.565776) = -0.879659
evaluacion 12: f(0.124089, -0.565776) = -0.879659
evaluacion 13: f(0.124089, -0.565776) = -0.879659
evaluacion 14: f(0.124089, -0.565776) = -0.879659
evaluacion 15: f(0.124089, -0.565776) = -0.879659
evaluacion 16: f(0.124089, -0.565776) = -0.879659
evaluacion 17: f(0.124089, -0.565776) = -0.879659
evaluacion 18: f(0.124089, -0.565776) = -0.879659
evaluacion 19: f(0.124089, -0.565776) = -0.879659
evaluacion 20: f(0.124089, -0.565776) = -0.879659
evaluacion 21: f(-0.0804797, -0.682107) = -0.91446
evaluacion 22: f(-0.0804797, -0.682107) = -0.91446
evaluacion 23: f(-0.0804797, -0.682107) = -0.91446
evaluacion 24: f(-0.0804797, -0.682107) = -0.91446
evaluacion 25: f(-0.0804797, -0.682107) = -0.91446
evaluacion 26: f(-0.0804797, -0.682107) = -0.91446
evaluacion 27: f(-0.0804797, -0.682107) = -0.91446
evaluacion 28: f(0.170926, -0.710387) = -1.00626
evaluacion 29: f(0.170926, -0.710387) = -1.00626
evaluacion 30: f(0.170926, -0.710387) = -1.00626
evaluacion 31: f(0.114225, -0.724167) = -1.0285
evaluacion 32: f(0.114225, -0.724167) = -1.0285
evaluacion 33: f(0.114225, -0.724167) = -1.0285
evaluacion 34: f(0.095527, -0.699108) = -1.02995
evaluacion 35: f(0.095527, -0.699108) = -1.02995
evaluacion 36: f(0.095527, -0.699108) = -1.02995
evaluacion 37: f(0.095527, -0.699108) = -1.02995
evaluacion 38: f(0.095527, -0.699108) = -1.02995
evaluacion 39: f(0.095527, -0.699108) = -1.02995
evaluacion 40: f(0.095527, -0.699108) = -1.02995
evaluacion 41: f(0.095527, -0.699108) = -1.02995
evaluacion 42: f(0.095527, -0.699108) = -1.02995
evaluacion 43: f(0.095527, -0.699108) = -1.02995
evaluacion 44: f(0.095527, -0.699108) = -1.02995
evaluacion 45: f(0.095527, -0.699108) = -1.02995
evaluacion 46: f(0.095527, -0.699108) = -1.02995
evaluacion 47: f(0.095527, -0.699108) = -1.02995
evaluacion 48: f(0.095527, -0.699108) = -1.02995
evaluacion 49: f(0.095527, -0.699108) = -1.02995
evaluacion 50: f(0.095527, -0.699108) = -1.02995
evaluacion 51: f(0.095527, -0.699108) = -1.02995
evaluacion 52: f(0.095527, -0.699108) = -1.02995
evaluacion 53: f(0.095527, -0.699108) = -1.02995
evaluacion 54: f(0.095527, -0.699108) = -1.02995
evaluacion 55: f(0.095527, -0.699108) = -1.02995
evaluacion 56: f(0.095527, -0.699108) = -1.02995
evaluacion 57: f(0.095527, -0.699108) = -1.02995
evaluacion 58: f(0.095527, -0.699108) = -1.02995
evaluacion 59: f(0.095527, -0.699108) = -1.02995
evaluacion 60: f(0.095527, -0.699108) = -1.02995
evaluacion 61: f(0.095527, -0.699108) = -1.02995
evaluacion 62: f(0.095527, -0.699108) = -1.02995
evaluacion 63: f(0.095527, -0.699108) = -1.02995
evaluacion 64: f(0.095527, -0.699108) = -1.02995
evaluacion 65: f(0.095527, -0.699108) = -1.02995
evaluacion 66: f(0.095527, -0.699108) = -1.02995
evaluacion 67: f(0.095527, -0.699108) = -1.02995
evaluacion 68: f(0.095527, -0.699108) = -1.02995
evaluacion 69: f(0.095527, -0.699108) = -1.02995
evaluacion 70: f(0.095527, -0.699108) = -1.02995
evaluacion 71: f(0.095527, -0.699108) = -1.02995
evaluacion 72: f(0.095527, -0.699108) = -1.02995
evaluacion 73: f(0.095527, -0.699108) = -1.02995
evaluacion 74: f(0.095527, -0.699108) = -1.02995
evaluacion 75: f(0.095527, -0.699108) = -1.02995
evaluacion 76: f(0.095527, -0.699108) = -1.02995
evaluacion 77: f(0.095527, -0.699108) = -1.02995
evaluacion 78: f(0.095527, -0.699108) = -1.02995
evaluacion 79: f(0.095527, -0.699108) = -1.02995
evaluacion 80: f(0.095527, -0.699108) = -1.02995
evaluacion 81: f(0.095527, -0.699108) = -1.02995
evaluacion 82: f(0.095527, -0.699108) = -1.02995
evaluacion 83: f(0.095527, -0.699108) = -1.02995
evaluacion 84: f(0.095527, -0.699108) = -1.02995
evaluacion 85: f(0.095527, -0.699108) = -1.02995
evaluacion 86: f(0.095527, -0.699108) = -1.02995
evaluacion 87: f(0.095527, -0.699108) = -1.02995
evaluacion 88: f(0.0845209, -0.703877) = -1.03094
evaluacion 89: f(0.0845209, -0.703877) = -1.03094
evaluacion 90: f(0.0845209, -0.703877) = -1.03094
evaluacion 91: f(0.0845209, -0.703877) = -1.03094
evaluacion 92: f(0.0845209, -0.703877) = -1.03094
evaluacion 93: f(0.0845209, -0.703877) = -1.03094
evaluacion 94: f(0.0845209, -0.703877) = -1.03094
evaluacion 95: f(0.0845209, -0.703877) = -1.03094
evaluacion 96: f(0.0948604, -0.717938) = -1.03133
evaluacion 97: f(0.0877628, -0.715491) = -1.03154
evaluacion 98: f(0.0877628, -0.715491) = -1.03154
evaluacion 99: f(0.0877628, -0.715491) = -1.03154
