primera evaluacion f(1.90513, -1.6317) = 17.3875
evaluacion 0: f(-1.03893, 0.897053) = 0.72947
evaluacion 1: f(-1.03893, 0.897053) = 0.72947
evaluacion 2: f(-0.302187, -0.28426) = 0.136811
evaluacion 3: f(-0.302187, -0.28426) = 0.136811
evaluacion 4: f(-0.302187, -0.28426) = 0.136811
evaluacion 5: f(-0.302187, -0.28426) = 0.136811
evaluacion 6: f(-0.302187, -0.28426) = 0.136811
evaluacion 7: f(-0.338656, -0.402691) = 0.0245507
evaluacion 8: f(0.0267989, -0.536013) = -0.830545
evaluacion 9: f(0.0267989, -0.536013) = -0.830545
evaluacion 10: f(0.0267989, -0.536013) = -0.830545
evaluacion 11: f(0.0267989, -0.536013) = -0.830545
evaluacion 12: f(0.0267989, -0.536013) = -0.830545
evaluacion 13: f(0.0267989, -0.536013) = -0.830545
evaluacion 14: f(0.0267989, -0.536013) = -0.830545
evaluacion 15: f(0.0267989, -0.536013) = -0.830545
evaluacion 16: f(0.0267989, -0.536013) = -0.830545
evaluacion 17: f(0.0267989, -0.536013) = -0.830545
evaluacion 18: f(0.0267989, -0.536013) = -0.830545
evaluacion 19: f(0.0267989, -0.536013) = -0.830545
evaluacion 20: f(0.0267989, -0.536013) = -0.830545
evaluacion 21: f(0.0267989, -0.536013) = -0.830545
evaluacion 22: f(0.0267989, -0.536013) = -0.830545
evaluacion 23: f(0.0267989, -0.536013) = -0.830545
evaluacion 24: f(0.0267989, -0.536013) = -0.830545
evaluacion 25: f(0.0267989, -0.536013) = -0.830545
evaluacion 26: f(0.0971241, -0.665241) = -1.01386
evaluacion 27: f(0.0971241, -0.665241) = -1.01386
evaluacion 28: f(0.0971241, -0.665241) = -1.01386
evaluacion 29: f(0.0971241, -0.665241) = -1.01386
evaluacion 30: f(0.0971241, -0.665241) = -1.01386
evaluacion 31: f(0.0971241, -0.665241) = -1.01386
evaluacion 32: f(0.0971241, -0.665241) = -1.01386
evaluacion 33: f(0.075316, -0.673585) = -1.01954
evaluacion 34: f(0.075316, -0.673585) = -1.01954
evaluacion 35: f(0.075316, -0.673585) = -1.01954
evaluacion 36: f(0.075316, -0.673585) = -1.01954
evaluacion 37: f(0.075316, -0.673585) = -1.01954
evaluacion 38: f(0.075316, -0.673585) = -1.01954
evaluacion 39: f(0.0577325, -0.686924) = -1.02318
evaluacion 40: f(0.065132, -0.688646) = -1.02527
evaluacion 41: f(0.065132, -0.688646) = -1.02527
evaluacion 42: f(0.065132, -0.688646) = -1.02527
evaluacion 43: f(0.065132, -0.688646) = -1.02527
evaluacion 44: f(0.0702982, -0.72652) = -1.02826
evaluacion 45: f(0.0702982, -0.72652) = -1.02826
evaluacion 46: f(0.0702982, -0.72652) = -1.02826
evaluacion 47: f(0.0702982, -0.72652) = -1.02826
evaluacion 48: f(0.0702982, -0.72652) = -1.02826
evaluacion 49: f(0.0702982, -0.72652) = -1.02826
evaluacion 50: f(0.0702982, -0.72652) = -1.02826
evaluacion 51: f(0.0702982, -0.72652) = -1.02826
evaluacion 52: f(0.0702982, -0.72652) = -1.02826
evaluacion 53: f(0.0702982, -0.72652) = -1.02826
evaluacion 54: f(0.0702982, -0.72652) = -1.02826
evaluacion 55: f(0.0702982, -0.72652) = -1.02826
evaluacion 56: f(0.0702982, -0.72652) = -1.02826
evaluacion 57: f(0.0702982, -0.72652) = -1.02826
evaluacion 58: f(0.0702982, -0.72652) = -1.02826
evaluacion 59: f(0.0702982, -0.72652) = -1.02826
evaluacion 60: f(0.0702982, -0.72652) = -1.02826
evaluacion 61: f(0.0702982, -0.72652) = -1.02826
evaluacion 62: f(0.0702982, -0.72652) = -1.02826
evaluacion 63: f(0.0702982, -0.72652) = -1.02826
evaluacion 64: f(0.0702982, -0.72652) = -1.02826
evaluacion 65: f(0.0702982, -0.72652) = -1.02826
evaluacion 66: f(0.0702982, -0.72652) = -1.02826
evaluacion 67: f(0.0702982, -0.72652) = -1.02826
evaluacion 68: f(0.0702982, -0.72652) = -1.02826
evaluacion 69: f(0.0702982, -0.72652) = -1.02826
evaluacion 70: f(0.0702982, -0.72652) = -1.02826
evaluacion 71: f(0.0702982, -0.72652) = -1.02826
evaluacion 72: f(0.0702982, -0.72652) = -1.02826
evaluacion 73: f(0.0702982, -0.72652) = -1.02826
evaluacion 74: f(0.0702982, -0.72652) = -1.02826
evaluacion 75: f(0.0702982, -0.72652) = -1.02826
evaluacion 76: f(0.0702982, -0.72652) = -1.02826
evaluacion 77: f(0.0702982, -0.72652) = -1.02826
evaluacion 78: f(0.0702982, -0.72652) = -1.02826
evaluacion 79: f(0.0702982, -0.72652) = -1.02826
evaluacion 80: f(0.0702982, -0.72652) = -1.02826
evaluacion 81: f(0.0702982, -0.72652) = -1.02826
evaluacion 82: f(0.0702982, -0.72652) = -1.02826
evaluacion 83: f(0.0702982, -0.72652) = -1.02826
evaluacion 84: f(0.0702982, -0.72652) = -1.02826
evaluacion 85: f(0.0702982, -0.72652) = -1.02826
evaluacion 86: f(0.0702982, -0.72652) = -1.02826
evaluacion 87: f(0.0702982, -0.72652) = -1.02826
evaluacion 88: f(0.0702982, -0.72652) = -1.02826
evaluacion 89: f(0.0702982, -0.72652) = -1.02826
evaluacion 90: f(0.0702982, -0.72652) = -1.02826
evaluacion 91: f(0.0702982, -0.72652) = -1.02826
evaluacion 92: f(0.0708178, -0.709677) = -1.0302
evaluacion 93: f(0.0708178, -0.709677) = -1.0302
evaluacion 94: f(0.0708178, -0.709677) = -1.0302
evaluacion 95: f(0.0708178, -0.709677) = -1.0302
evaluacion 96: f(0.0817041, -0.712402) = -1.03137
evaluacion 97: f(0.090517, -0.714133) = -1.03161
evaluacion 98: f(0.090517, -0.714133) = -1.03161
evaluacion 99: f(0.090517, -0.714133) = -1.03161
