primera evaluacion f(1.39858, 1.23437) = 7.20205
evaluacion 0: f(-1.13412, -0.12367) = 2.46003
evaluacion 1: f(-1.13412, -0.12367) = 2.46003
evaluacion 2: f(-1.13412, -0.12367) = 2.46003
evaluacion 3: f(-0.279889, 0.0288845) = 0.289206
evaluacion 4: f(-0.279889, 0.0288845) = 0.289206
evaluacion 5: f(-0.279889, 0.0288845) = 0.289206
evaluacion 6: f(-0.279889, 0.0288845) = 0.289206
evaluacion 7: f(-0.279889, 0.0288845) = 0.289206
evaluacion 8: f(-0.279889, 0.0288845) = 0.289206
evaluacion 9: f(-0.279889, 0.0288845) = 0.289206
evaluacion 10: f(-0.12927, 0.263505) = -0.226259
evaluacion 11: f(-0.12927, 0.263505) = -0.226259
evaluacion 12: f(-0.0616647, -0.928677) = -0.4021
evaluacion 13: f(-0.0616647, -0.928677) = -0.4021
evaluacion 14: f(-0.0616647, -0.928677) = -0.4021
evaluacion 15: f(-0.0616647, -0.928677) = -0.4021
evaluacion 16: f(-0.0616647, -0.928677) = -0.4021
evaluacion 17: f(-0.0616647, -0.928677) = -0.4021
evaluacion 18: f(-0.0616647, -0.928677) = -0.4021
evaluacion 19: f(-0.0616647, -0.928677) = -0.4021
evaluacion 20: f(-0.0561472, -0.726844) = -0.943396
evaluacion 21: f(-0.0561472, -0.726844) = -0.943396
evaluacion 22: f(-0.0561472, -0.726844) = -0.943396
evaluacion 23: f(-0.0561472, -0.726844) = -0.943396
evaluacion 24: f(-0.0561472, -0.726844) = -0.943396
evaluacion 25: f(-0.0561472, -0.726844) = -0.943396
evaluacion 26: f(-0.0561472, -0.726844) = -0.943396
evaluacion 27: f(-0.0561472, -0.726844) = -0.943396
evaluacion 28: f(-0.0561472, -0.726844) = -0.943396
evaluacion 29: f(-0.0561472, -0.726844) = -0.943396
evaluacion 30: f(-0.0561472, -0.726844) = -0.943396
evaluacion 31: f(-0.0561472, -0.726844) = -0.943396
evaluacion 32: f(-0.0561472, -0.726844) = -0.943396
evaluacion 33: f(-0.0561472, -0.726844) = -0.943396
evaluacion 34: f(-0.0561472, -0.726844) = -0.943396
evaluacion 35: f(-0.0561472, -0.726844) = -0.943396
evaluacion 36: f(-0.0561472, -0.726844) = -0.943396
evaluacion 37: f(-0.0561472, -0.726844) = -0.943396
evaluacion 38: f(-0.0561472, -0.726844) = -0.943396
evaluacion 39: f(-0.0561472, -0.726844) = -0.943396
evaluacion 40: f(-0.0561472, -0.726844) = -0.943396
evaluacion 41: f(-0.0561472, -0.726844) = -0.943396
evaluacion 42: f(-0.0561472, -0.726844) = -0.943396
evaluacion 43: f(-0.0561472, -0.726844) = -0.943396
evaluacion 44: f(-0.0561472, -0.726844) = -0.943396
evaluacion 45: f(-0.0561472, -0.726844) = -0.943396
evaluacion 46: f(-0.0561472, -0.726844) = -0.943396
evaluacion 47: f(-0.0561472, -0.726844) = -0.943396
evaluacion 48: f(-0.0561472, -0.726844) = -0.943396
evaluacion 49: f(-0.0561472, -0.726844) = -0.943396
evaluacion 50: f(-0.0561472, -0.726844) = -0.943396
evaluacion 51: f(-0.0561472, -0.726844) = -0.943396
evaluacion 52: f(-0.0561472, -0.726844) = -0.943396
