primera evaluacion f(-0.117918, 0.596106) = -0.931376
evaluacion 0: f(-0.117918, 0.596106) = -0.931376
evaluacion 1: f(-0.117918, 0.596106) = -0.931376
evaluacion 2: f(-0.117918, 0.596106) = -0.931376
evaluacion 3: f(-0.117918, 0.596106) = -0.931376
evaluacion 4: f(-0.117918, 0.596106) = -0.931376
evaluacion 5: f(-0.117918, 0.596106) = -0.931376
evaluacion 6: f(-0.117918, 0.596106) = -0.931376
evaluacion 7: f(-0.117918, 0.596106) = -0.931376
evaluacion 8: f(-0.117918, 0.596106) = -0.931376
evaluacion 9: f(-0.117918, 0.596106) = -0.931376
evaluacion 10: f(-0.117918, 0.596106) = -0.931376
evaluacion 11: f(-0.117918, 0.596106) = -0.931376
evaluacion 12: f(-0.117918, 0.596106) = -0.931376
evaluacion 13: f(-0.117918, 0.596106) = -0.931376
evaluacion 14: f(-0.117918, 0.596106) = -0.931376
evaluacion 15: f(-0.117918, 0.596106) = -0.931376
evaluacion 16: f(-0.117918, 0.596106) = -0.931376
evaluacion 17: f(-0.117918, 0.596106) = -0.931376
evaluacion 18: f(-0.117918, 0.596106) = -0.931376
evaluacion 19: f(-0.117918, 0.596106) = -0.931376
evaluacion 20: f(-0.117918, 0.596106) = -0.931376
evaluacion 21: f(-0.117918, 0.596106) = -0.931376
evaluacion 22: f(-0.117918, 0.596106) = -0.931376
evaluacion 23: f(-0.117918, 0.596106) = -0.931376
evaluacion 24: f(-0.117918, 0.596106) = -0.931376
evaluacion 25: f(-0.117918, 0.596106) = -0.931376
evaluacion 26: f(-0.117918, 0.596106) = -0.931376
evaluacion 27: f(-0.117918, 0.596106) = -0.931376
evaluacion 28: f(-0.117918, 0.596106) = -0.931376
evaluacion 29: f(-0.0194065, 0.718653) = -1.01136
evaluacion 30: f(-0.0194065, 0.718653) = -1.01136
evaluacion 31: f(-0.0194065, 0.718653) = -1.01136
evaluacion 32: f(-0.0194065, 0.718653) = -1.01136
evaluacion 33: f(-0.0194065, 0.718653) = -1.01136
evaluacion 34: f(-0.0194065, 0.718653) = -1.01136
evaluacion 35: f(-0.0194065, 0.718653) = -1.01136
evaluacion 36: f(-0.0194065, 0.718653) = -1.01136
evaluacion 37: f(-0.0194065, 0.718653) = -1.01136
evaluacion 38: f(-0.0194065, 0.718653) = -1.01136
evaluacion 39: f(-0.0194065, 0.718653) = -1.01136
evaluacion 40: f(-0.0194065, 0.718653) = -1.01136
evaluacion 41: f(-0.0194065, 0.718653) = -1.01136
evaluacion 42: f(-0.0194065, 0.718653) = -1.01136
evaluacion 43: f(-0.0233997, 0.70399) = -1.01421
evaluacion 44: f(-0.0233997, 0.70399) = -1.01421
