Generacion,Mejor_Fitness
0,0.000202
1,0.000750
2,0.000760
3,0.002045
4,0.002163
5,0.004205
6,0.005691
7,0.007433
8,0.026262
9,0.031481
10,0.031875
11,0.037305
12,0.043343
13,0.043343
14,0.043343
15,0.043343
16,0.043600
17,0.043600
18,0.043600
19,0.043600
20,0.043600
21,0.043600
22,0.043600
23,0.043600
24,0.043600
25,0.043600
26,0.043600
27,0.043600
28,0.043600
29,0.043600
30,0.043600
31,0.043600
32,0.043600
33,0.043600
34,0.043600
35,0.043600
36,0.043600
37,0.043600
38,0.043600
39,0.043600
40,0.043600
41,0.043600
42,0.043600
43,0.043600
44,0.043600
45,0.043600
46,0.043600
47,0.043600
48,0.043600
49,0.043600
50,0.043600
51,0.043600
52,0.043600
53,0.043600
54,0.043600
55,0.043600
56,0.043600
57,0.043600
58,0.043600
59,0.043600
60,0.043600
61,0.043600
62,0.043600
63,0.043600
64,0.043600
65,0.043600
66,0.043600
67,0.043600
68,0.043600
69,0.043600
70,0.043600
71,0.043600
72,0.043600
73,0.043600
74,0.043600
75,0.043600
76,0.043600
77,0.043600
78,0.043600
79,0.043650
80,0.060306
81,0.066868
82,0.096741
83,0.099950
84,0.111109
85,0.111109
86,0.113145
87,0.114298
88,0.114298
89,0.117011
90,0.120088
91,0.120088
92,0.120088
93,0.120088
94,0.120088
95,0.120850
96,0.120850
97,0.120850
98,0.120850
99,0.120850
100,0.120850
101,0.120850
102,0.122284
103,0.122284
104,0.122284
105,0.122284
106,0.122284
107,0.122284
108,0.122284
109,0.122284
110,0.122284
111,0.122284
112,0.122284
113,0.122284
114,0.122284
115,0.122284
116,0.122284
117,0.122284
118,0.122284
119,0.122284
120,0.122284
121,0.122284
122,0.122284
123,0.122284
124,0.122284
125,0.122284
126,0.122284
127,0.122284
128,0.122284
129,0.122284
130,0.122284
131,0.122284
132,0.122284
133,0.122284
134,0.122405
135,0.122422
136,0.122860
137,0.122860
138,0.122880
139,0.122880
140,0.122880
141,0.122880
142,0.122880
143,0.122880
144,0.122880
145,0.122880
146,0.122880
147,0.122880
148,0.122880
149,0.122880
150,0.122880
151,0.122880
152,0.122880
153,0.122880
154,0.122880
155,0.122880
156,0.122880
157,0.122880
158,0.122880
159,0.122880
160,0.122880
161,0.122880
162,0.122880
163,0.122880
164,0.122880
165,0.122880
166,0.122880
167,0.122880
168,0.122880
169,0.122880
170,0.122880
171,0.122880
172,0.122880
173,0.122880
174,0.122880
175,0.122880
176,0.122880
177,0.122880
178,0.122880
179,0.122880
180,0.122880
181,0.122880
182,0.122880
183,0.122880
184,0.122880
185,0.122880
186,0.122880
187,0.122880
188,0.122880
189,0.122880
190,0.122880
191,0.122880
192,0.122880
193,0.122880
194,0.122880
195,0.122880
196,0.122880
197,0.122880
198,0.122880
199,0.122880
200,0.122880
201,0.122880
202,0.122880
203,0.122880
204,0.122880
205,0.122880
206,0.122880
207,0.122880
208,0.122880
209,0.122880
210,0.122880
211,0.122880
212,0.122880
213,0.122880
214,0.122880
215,0.122880
216,0.122880
217,0.122880
218,0.122880
219,0.122880
220,0.122880
221,0.122880
222,0.122880
223,0.122880
224,0.122880
225,0.122880
226,0.122880
227,0.122880
228,0.122880
229,0.122880
230,0.122880
231,0.122880
232,0.122880
233,0.122880
234,0.122880
235,0.122880
236,0.122880
237,0.122880
238,0.122880
239,0.122880
240,0.122880
241,0.122880
242,0.122880
243,0.122880
244,0.122880
245,0.122880
246,0.122880
247,0.122880
248,0.122880
249,0.122880
250,0.122880
251,0.122880
252,0.122880
253,0.122880
254,0.122880
255,0.122880
256,0.122880
257,0.122880
258,0.122880
259,0.122880
260,0.122880
261,0.122880
262,0.122880
263,0.122880
264,0.122880
265,0.122880
266,0.122880
267,0.122880
268,0.122880
269,0.122880
270,0.122880
271,0.122880
272,0.122880
273,0.122880
274,0.122880
275,0.122880
276,0.122880
277,0.122880
278,0.122880
279,0.122880
280,0.122880
281,0.122880
282,0.122880
283,0.122880
284,0.122880
285,0.122880
286,0.122880
287,0.122880
288,0.122880
289,0.122880
290,0.122880
291,0.122880
292,0.122880
293,0.122880
294,0.122880
295,0.122880
296,0.122880
297,0.122880
298,0.122880
299,0.122880
300,0.122880
301,0.122880
302,0.122880
303,0.122880
304,0.122880
305,0.122880
306,0.122880
307,0.122880
308,0.122880
309,0.122880
310,0.122880
311,0.122880
312,0.122880
313,0.122880
314,0.122880
315,0.122880
316,0.122880
317,0.122880
318,0.122880
319,0.122880
320,0.122880
321,0.122880
322,0.122880
323,0.122880
324,0.122880
325,0.122880
326,0.122880
327,0.122880
328,0.122880
329,0.122880
330,0.122880
331,0.122880
332,0.122880
333,0.122880
334,0.122880
335,0.122880
336,0.122880
337,0.122880
338,0.122880
339,0.122880
340,0.122880
341,0.122880
342,0.122880
343,0.122880
344,0.122880
345,0.122880
346,0.122880
347,0.122880
348,0.122880
349,0.122880
350,0.122880
351,0.122880
352,0.122880
353,0.122880
354,0.122880
355,0.122880
356,0.122880
357,0.122880
358,0.122880
359,0.122880
360,0.122880
361,0.122880
362,0.122880
363,0.122880
364,0.122880
365,0.122880
366,0.122880
367,0.122880
368,0.122880
369,0.122880
370,0.122880
371,0.122880
372,0.122880
373,0.122880
374,0.122880
375,0.122880
376,0.122880
377,0.122880
378,0.122880
379,0.122880
380,0.122880
381,0.122880
382,0.122880
383,0.122880
384,0.122880
385,0.122880
386,0.122880
387,0.122880
388,0.122880
389,0.122880
390,0.122880
391,0.122880
392,0.122880
393,0.122880
394,0.122880
395,0.122880
396,0.122880
397,0.122880
398,0.122880
399,0.122880
400,0.122880
401,0.122880
402,0.122880
403,0.122880
404,0.122880
405,0.122880
406,0.122880
407,0.122880
408,0.122880
409,0.122880
410,0.122880
411,0.122880
412,0.122880
413,0.122880
414,0.122880
415,0.122880
416,0.122880
417,0.122880
418,0.122880
419,0.122880
420,0.122880
421,0.122880
422,0.122880
423,0.122880
424,0.122880
425,0.122880
426,0.122880
427,0.122880
428,0.122880
429,0.122880
430,0.122880
431,0.122880
432,0.122880
433,0.122880
434,0.122880
435,0.122880
436,0.122880
437,0.122880
438,0.122880
439,0.122880
440,0.122880
441,0.122880
442,0.122880
443,0.122880
444,0.122880
445,0.122880
446,0.122880
447,0.122880
448,0.122880
449,0.122880
450,0.122880
451,0.122880
452,0.122880
453,0.122880
454,0.122880
455,0.122880
456,0.122880
457,0.122880
458,0.122880
459,0.122880
460,0.122880
461,0.122880
462,0.122880
463,0.122880
464,0.122880
465,0.122880
466,0.122880
467,0.122880
468,0.122880
469,0.122880
470,0.122880
471,0.122880
472,0.122880
473,0.122880
474,0.122880
475,0.122880
476,0.122880
477,0.122880
478,0.122880
479,0.122880
480,0.122880
481,0.122880
482,0.122880
483,0.122880
484,0.122880
485,0.122880
486,0.122880
487,0.122880
488,0.122880
489,0.122880
490,0.122880
491,0.122880
492,0.122880
493,0.122880
494,0.122880
495,0.122880
496,0.122880
497,0.122880
498,0.122880
499,0.122880
500,0.122880
501,0.122880
502,0.122880
503,0.122880
504,0.122880
505,0.122880
506,0.122880
507,0.122880
508,0.122880
509,0.122880
510,0.122880
511,0.122880
512,0.122880
513,0.122880
514,0.122880
515,0.122880
516,0.122880
517,0.122880
518,0.122880
519,0.122880
520,0.122880
521,0.122880
522,0.122880
523,0.122880
524,0.122880
525,0.122880
526,0.122880
527,0.122880
528,0.122880
529,0.122880
530,0.122880
531,0.122880
532,0.122880
533,0.122880
534,0.122880
535,0.122880
536,0.122880
537,0.122880
538,0.122880
539,0.122880
540,0.122880
541,0.122880
542,0.122880
543,0.122880
544,0.122880
545,0.122880
546,0.122880
547,0.122880
548,0.122880
549,0.122880
550,0.122880
551,0.122880
552,0.122880
553,0.122880
554,0.122880
555,0.122880
556,0.122880
557,0.122880
558,0.122880
559,0.122880
560,0.122880
561,0.122880
562,0.122880
563,0.122880
564,0.122880
565,0.122880
566,0.122880
567,0.122880
568,0.122880
569,0.122880
570,0.122880
571,0.122880
572,0.122880
573,0.122880
574,0.122880
575,0.122880
576,0.122880
577,0.122880
578,0.122880
579,0.122880
580,0.122880
581,0.122880
582,0.122880
583,0.122880
584,0.122880
585,0.122880
586,0.122880
587,0.122880
588,0.122880
589,0.122880
590,0.122880
591,0.122880
592,0.122880
593,0.122880
594,0.122880
595,0.122880
596,0.122880
597,0.122880
598,0.122880
599,0.122880
600,0.122880
601,0.122880
602,0.122880
603,0.122880
604,0.122880
605,0.122880
606,0.122880
607,0.122880
608,0.122880
609,0.122880
610,0.122880
611,0.122880
612,0.122880
613,0.122880
614,0.122880
615,0.122880
616,0.122880
617,0.122880
618,0.122880
619,0.122880
620,0.122880
621,0.122880
622,0.122880
623,0.122880
624,0.122880
625,0.122880
626,0.122880
627,0.122880
628,0.122880
629,0.122880
630,0.122880
631,0.122880
632,0.122880
633,0.122880
634,0.122880
635,0.122880
636,0.122880
637,0.122880
638,0.122880
639,0.122880
640,0.122880
641,0.122880
642,0.122880
643,0.122880
644,0.122880
645,0.122880
646,0.122880
647,0.122880
648,0.122880
649,0.122880
650,0.122880
651,0.122880
652,0.122880
653,0.122880
654,0.122880
655,0.122880
656,0.122880
657,0.122880
658,0.122880
659,0.122880
660,0.122880
661,0.122880
662,0.122880
663,0.122880
664,0.122880
665,0.122880
666,0.122880
667,0.122880
668,0.122880
669,0.122880
670,0.122880
671,0.122880
672,0.122880
673,0.122880
674,0.122880
675,0.122880
676,0.122880
677,0.122880
678,0.122880
679,0.122880
680,0.122880
681,0.122880
682,0.122880
683,0.122880
684,0.122880
685,0.122880
686,0.122880
687,0.122880
688,0.122880
689,0.122880
690,0.122880
691,0.122880
692,0.122880
693,0.122880
694,0.122880
695,0.122880
696,0.122880
697,0.122880
698,0.122880
699,0.122880
700,0.122880
701,0.122880
702,0.122880
703,0.122880
704,0.122880
705,0.122880
706,0.122880
707,0.122880
708,0.122880
709,0.122880
710,0.122880
711,0.122880
712,0.122880
713,0.122880
714,0.122880
715,0.122880
716,0.122880
717,0.122880
718,0.122880
719,0.122880
720,0.122880
721,0.122880
722,0.122880
723,0.122880
724,0.122880
725,0.122880
726,0.122880
727,0.122880
728,0.122880
729,0.122880
730,0.122880
731,0.122880
732,0.122880
733,0.122880
734,0.122880
735,0.122880
736,0.122880
737,0.122880
738,0.122880
739,0.122880
740,0.122880
741,0.122880
742,0.122880
743,0.122880
744,0.122880
745,0.122880
746,0.122880
747,0.122880
748,0.122880
749,0.122880
750,0.122880
751,0.122880
752,0.122880
753,0.122880
754,0.122880
755,0.122880
756,0.122880
757,0.122880
758,0.122880
759,0.122880
760,0.122880
761,0.122880
762,0.122880
763,0.122880
764,0.122880
765,0.122880
766,0.122880
767,0.122880
768,0.122880
769,0.122880
770,0.122880
771,0.122880
772,0.122880
773,0.122880
774,0.122880
775,0.122880
776,0.122880
777,0.122880
778,0.122880
779,0.122880
780,0.122880
781,0.122880
782,0.122880
783,0.122880
784,0.122880
785,0.122880
786,0.122880
787,0.122880
788,0.122880
789,0.122880
790,0.122880
791,0.122880
792,0.122880
793,0.122880
794,0.122880
795,0.122880
796,0.122880
797,0.122880
798,0.122880
799,0.122880
800,0.122880
801,0.122880
802,0.122880
803,0.122880
804,0.122880
805,0.122880
806,0.122880
807,0.122880
808,0.122880
809,0.122880
810,0.122880
811,0.122880
812,0.122880
813,0.122880
814,0.122880
815,0.122880
816,0.122880
817,0.122880
818,0.122880
819,0.122880
820,0.122880
821,0.122880
822,0.122880
823,0.122880
824,0.122880
825,0.122880
826,0.122880
827,0.122880
828,0.122880
829,0.122880
830,0.122880
831,0.122880
832,0.122880
833,0.122880
834,0.122880
835,0.122880
836,0.122880
837,0.122880
838,0.122880
839,0.122880
840,0.122880
841,0.122880
842,0.122880
843,0.122880
844,0.122880
845,0.122880
846,0.122880
847,0.122880
848,0.122880
849,0.122880
850,0.122880
851,0.122880
852,0.122880
853,0.122880
854,0.122880
855,0.122880
856,0.122880
857,0.122880
858,0.122880
859,0.122880
860,0.122880
861,0.122880
862,0.122880
863,0.122880
864,0.122880
865,0.122880
866,0.122880
867,0.122880
868,0.122880
869,0.122880
870,0.122880
871,0.122880
872,0.122880
873,0.122880
874,0.122880
875,0.122880
876,0.122880
877,0.122880
878,0.122880
879,0.122880
880,0.122880
881,0.122880
882,0.122880
883,0.122880
884,0.122880
885,0.122880
886,0.122880
887,0.122880
888,0.122880
889,0.122880
890,0.122880
891,0.122880
892,0.122880
893,0.122880
894,0.122880
895,0.122880
896,0.122880
897,0.122880
898,0.122880
899,0.122880
900,0.122880
901,0.122880
902,0.122880
903,0.122880
904,0.122880
905,0.122880
906,0.122880
907,0.122880
908,0.122880
909,0.122880
910,0.122880
911,0.122880
912,0.122880
913,0.122880
914,0.122880
915,0.122880
916,0.122880
917,0.122880
918,0.122880
919,0.122880
920,0.122880
921,0.122880
922,0.122880
923,0.122880
924,0.122880
925,0.122880
926,0.122880
927,0.122880
928,0.122880
929,0.122880
930,0.122880
931,0.122880
932,0.122880
933,0.122880
934,0.122880
935,0.122880
936,0.122880
937,0.122880
938,0.122880
939,0.122880
940,0.122880
941,0.122880
942,0.122880
943,0.122880
944,0.122880
945,0.122880
946,0.122880
947,0.122880
948,0.122880
949,0.122880
950,0.122880
951,0.122880
952,0.122880
953,0.122880
954,0.122880
955,0.122880
956,0.122880
957,0.122880
958,0.122880
959,0.122880
960,0.122880
961,0.122880
962,0.122880
963,0.122880
964,0.122880
965,0.122880
966,0.122880
967,0.122880
968,0.122880
969,0.122880
970,0.122880
971,0.122880
972,0.122880
973,0.122880
974,0.122880
975,0.122880
976,0.122880
977,0.122880
978,0.122880
979,0.122880
980,0.122880
981,0.122880
982,0.122880
983,0.122880
984,0.122880
985,0.122880
986,0.122880
987,0.122880
988,0.122880
989,0.122880
990,0.122880
991,0.122880
992,0.122880
993,0.122880
994,0.122880
995,0.122880
996,0.122880
997,0.122880
998,0.122880
999,0.122880
