Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.004321,0.020036,0.001996,5,10,48.909056,-14.173 15.767 
2,0.012301,0.024581,0.002004,5,10,39.681836,-14.278 15.767 
3,0.020354,0.050672,0.002093,5,10,18.734905,-1.066 15.767 
4,0.027799,0.050672,0.002005,5,10,18.734905,-1.066 15.767 
5,0.030820,0.050672,0.002004,5,10,18.734755,-1.066 16.029 
6,0.037515,0.050672,0.002013,5,10,18.734755,-1.066 16.029 
7,0.038807,0.054169,0.005442,5,10,17.460647,-0.672 15.767 
8,0.036929,0.054169,0.002016,5,10,17.460647,-0.672 15.767 
9,0.037295,0.054169,0.002008,5,10,17.460647,-0.672 15.767 
10,0.036711,0.054169,0.002105,5,10,17.460647,-0.672 15.767 
11,0.048781,0.054169,0.036348,5,10,17.460647,-0.672 15.767 
12,0.030112,0.054169,0.001996,5,10,17.460647,-0.672 15.767 
13,0.041938,0.054169,0.002078,5,10,17.460647,-0.672 15.767 
14,0.024666,0.054169,0.001996,5,10,17.460647,-0.672 15.767 
15,0.029643,0.054169,0.002011,5,10,17.460647,-0.672 15.767 
16,0.037958,0.054169,0.010011,5,10,17.460647,-0.672 15.767 
17,0.051036,0.054169,0.032973,5,10,17.460647,-0.672 15.767 
18,0.051178,0.054410,0.032973,5,10,17.378831,-0.408 15.767 
19,0.043153,0.054410,0.002027,5,10,17.378831,-0.408 15.767 
20,0.043115,0.054421,0.002142,5,10,17.375412,-0.279 16.291 
21,0.043229,0.054421,0.002004,5,10,17.375412,-0.279 16.291 
22,0.043509,0.054421,0.002031,5,10,17.375412,-0.279 16.291 
23,0.033744,0.054423,0.001996,5,10,17.374557,-0.014 15.767 
24,0.033918,0.054423,0.002001,5,10,17.374557,-0.014 15.767 
25,0.048252,0.054423,0.002278,5,10,17.374557,-0.014 15.767 
26,0.038298,0.054423,0.001996,5,10,17.374557,-0.016 15.767 
27,0.048240,0.054423,0.002022,5,10,17.374557,-0.016 15.767 
28,0.027925,0.054423,0.002003,5,10,17.374557,-0.016 15.767 
29,0.050603,0.054423,0.023960,5,10,17.374439,-0.016 15.819 
30,0.033325,0.054423,0.001997,5,10,17.374439,-0.016 15.819 
31,0.053523,0.054423,0.047404,5,10,17.374439,-0.016 15.819 
32,0.042966,0.054423,0.002001,5,10,17.374439,-0.016 15.819 
33,0.049275,0.054423,0.013353,5,10,17.374419,-0.017 15.845 
34,0.041048,0.054423,0.002238,5,10,17.374419,-0.017 15.845 
35,0.054217,0.054423,0.052396,5,10,17.374419,-0.017 15.845 
36,0.043335,0.054423,0.002029,5,10,17.374419,-0.017 15.845 
37,0.043285,0.054423,0.002032,5,10,17.374419,-0.017 15.845 
38,0.038004,0.054423,0.002054,5,10,17.374419,-0.017 15.845 
39,0.042650,0.054424,0.001996,5,10,17.374407,-0.017 15.976 
40,0.041387,0.054424,0.002006,5,10,17.374407,-0.017 15.975 
41,0.051822,0.054424,0.031186,5,10,17.374407,-0.017 15.975 
42,0.034990,0.054424,0.002004,5,10,17.374407,-0.017 15.975 
43,0.040060,0.054424,0.002164,5,10,17.374407,-0.017 15.975 
44,0.042554,0.054424,0.002077,5,10,17.374407,-0.017 15.975 
45,0.031775,0.054424,0.002004,5,10,17.374407,-0.017 15.975 
46,0.033715,0.054424,0.002005,5,10,17.374407,-0.017 15.975 
47,0.049352,0.054424,0.025993,5,10,17.374407,-0.021 15.975 
48,0.048780,0.054424,0.002044,5,10,17.374407,-0.021 15.975 
49,0.041237,0.054424,0.002011,5,10,17.374407,-0.021 15.975 
50,0.046012,0.054424,0.002009,5,10,17.374407,-0.021 15.975 
51,0.038102,0.054424,0.001997,5,10,17.374407,-0.021 15.975 
52,0.048394,0.054424,0.002044,5,10,17.374407,-0.021 15.975 
53,0.038125,0.054424,0.001996,5,10,17.374407,-0.021 15.975 
54,0.038932,0.054424,0.002008,5,10,17.374407,-0.017 15.962 
55,0.044072,0.054424,0.002006,5,10,17.374407,-0.017 15.962 
56,0.027420,0.054424,0.001996,5,10,17.374407,-0.017 15.962 
57,0.043027,0.054424,0.002031,5,10,17.374407,-0.017 15.962 
58,0.053276,0.054424,0.044350,5,10,17.374407,-0.017 15.962 
59,0.043943,0.054424,0.002005,5,10,17.374407,-0.024 15.959 
60,0.042229,0.054424,0.002010,5,10,17.374407,-0.024 15.959 
61,0.047880,0.054424,0.005765,5,10,17.374407,-0.024 15.959 
62,0.052065,0.054424,0.038879,5,10,17.374407,-0.024 15.959 
63,0.037919,0.054424,0.002009,5,10,17.374407,-0.024 15.959 
64,0.048806,0.054424,0.002207,5,10,17.374407,-0.024 15.959 
65,0.043824,0.054424,0.002025,5,10,17.374407,-0.024 15.959 
66,0.038669,0.054424,0.002006,5,10,17.374407,-0.024 15.959 
67,0.033435,0.054424,0.002003,5,10,17.374407,-0.024 15.961 
68,0.043387,0.054424,0.002020,5,10,17.374407,-0.024 15.961 
69,0.049520,0.054424,0.005666,5,10,17.374407,-0.037 15.961 
70,0.049059,0.054424,0.002005,5,10,17.374407,-0.037 15.961 
71,0.043876,0.054424,0.002491,5,10,17.374407,-0.037 15.961 
72,0.049070,0.054424,0.004639,5,10,17.374407,-0.037 15.961 
73,0.048755,0.054424,0.002026,5,10,17.374407,-0.037 15.961 
74,0.038952,0.054424,0.002752,5,10,17.374407,-0.037 15.961 
75,0.054085,0.054424,0.051897,5,10,17.374407,-0.037 15.961 
76,0.043254,0.054424,0.002009,5,10,17.374407,-0.037 15.961 
77,0.033264,0.054424,0.001996,5,10,17.374407,-0.037 15.961 
78,0.039483,0.054424,0.002021,5,10,17.374407,-0.030 15.963 
79,0.037806,0.054424,0.002006,5,10,17.374407,-0.030 15.963 
80,0.043017,0.054424,0.002005,5,10,17.374407,-0.030 15.963 
81,0.037807,0.054424,0.002043,5,10,17.374407,-0.030 15.963 
82,0.042747,0.054424,0.002280,5,10,17.374407,-0.030 15.962 
83,0.036244,0.054424,0.001996,5,10,17.374407,-0.030 15.962 
84,0.049236,0.054424,0.038168,5,10,17.374407,-0.030 15.962 
85,0.049385,0.054424,0.042911,5,10,17.374407,-0.030 15.962 
86,0.047651,0.054424,0.007930,5,10,17.374407,-0.030 15.962 
87,0.037787,0.054424,0.001996,5,10,17.374407,-0.030 15.962 
88,0.038241,0.054424,0.002011,5,10,17.374407,-0.030 15.962 
89,0.053858,0.054424,0.052420,5,10,17.374407,-0.034 15.963 
90,0.038375,0.054424,0.001996,5,10,17.374407,-0.034 15.963 
91,0.038652,0.054424,0.002004,5,10,17.374407,-0.034 15.963 
92,0.048105,0.054424,0.002018,5,10,17.374407,-0.034 15.963 
93,0.053181,0.054424,0.044737,5,10,17.374407,-0.034 15.963 
94,0.034081,0.054424,0.002011,5,10,17.374407,-0.034 15.963 
95,0.039457,0.054424,0.002005,5,10,17.374407,-0.034 15.963 
96,0.048361,0.054424,0.039269,5,10,17.374407,-0.034 15.963 
97,0.037203,0.054424,0.002018,5,10,17.374407,-0.034 15.963 
98,0.030344,0.075439,0.002004,5,10,12.255798,-1.287 -15.494 
99,0.044966,0.075497,0.002002,5,10,12.245626,-1.287 -15.573 
100,0.050007,0.085547,0.002017,5,10,10.689498,-1.195 -15.581 
