Generación,Fx,Var1,Var2
1,438.246623,28.097,-14.573
2,369.933982,29.456,35.226
3,369.933982,29.456,35.226
4,30.051667,33.381,32.537
5,24.206946,32.857,32.590
6,24.187639,32.857,32.524
7,24.187639,32.857,32.524
8,24.187639,32.857,32.524
9,6.013584,32.868,-32.933
10,6.013584,32.868,-32.933
11,6.013584,32.868,-32.933
12,5.604422,31.556,-32.933
13,5.430030,32.776,-32.805
14,3.633651,0.100,-32.933
15,3.633651,0.100,-32.933
16,3.633651,0.100,-32.933
17,3.633651,0.100,-32.933
18,2.984969,0.100,-31.622
19,2.984969,0.100,-31.622
20,2.984969,0.100,-31.622
21,2.984969,0.100,-31.622
22,2.984969,0.100,-31.622
23,2.983965,0.100,-31.649
24,2.982560,0.101,-32.278
25,2.982560,0.101,-32.278
26,2.982117,0.100,-32.148
27,2.982117,0.100,-32.148
28,2.982116,0.021,-32.148
29,2.982116,0.021,-32.148
30,2.982116,0.021,-32.148
31,2.982116,0.017,-32.148
32,2.982116,0.017,-32.148
33,2.982116,0.017,-32.148
34,2.982114,0.017,-32.144
35,2.982114,0.017,-32.144
36,2.982105,0.077,-32.017
37,2.982105,0.077,-32.017
38,2.982105,0.077,-32.017
39,2.982105,0.077,-32.017
40,2.982105,0.077,-32.004
41,2.982105,0.066,-32.004
42,2.982105,0.066,-32.004
43,2.982105,0.066,-32.004
44,2.982105,0.066,-32.004
45,2.982105,0.066,-32.004
46,2.982105,0.066,-32.004
47,2.982105,0.066,-32.004
48,2.982105,0.066,-32.004
49,2.982105,0.066,-32.004
50,2.982105,0.066,-32.004
51,2.982105,0.066,-32.004
52,2.982105,0.039,-32.004
53,2.982105,0.039,-32.004
54,2.982105,0.039,-32.004
55,2.982105,0.039,-32.004
56,2.982105,0.039,-32.004
57,2.982105,0.000,-32.004
58,2.982105,0.000,-32.001
59,2.982105,0.000,-32.001
60,2.982105,0.000,-32.001
61,2.982105,0.000,-32.001
62,2.982105,0.000,-32.001
63,2.982105,0.000,-32.001
64,2.982105,0.000,-32.001
65,2.982105,0.000,-32.001
66,2.982105,0.000,-32.001
67,2.982105,0.000,-32.001
68,2.982105,0.000,-32.001
69,2.982105,0.000,-32.001
70,2.982105,0.000,-32.001
71,2.982105,0.000,-32.001
72,2.982105,0.000,-32.001
73,2.982105,0.000,-32.001
74,2.982105,0.000,-32.001
75,2.982105,0.000,-32.001
76,2.982105,0.000,-32.000
77,2.982105,0.000,-32.000
78,2.982105,0.000,-32.000
79,2.982105,0.000,-32.000
80,2.982105,0.000,-32.000
81,2.982105,0.000,-32.000
82,2.982105,0.003,-31.989
83,2.982105,0.008,-31.988
84,2.982105,0.008,-31.988
85,2.982105,0.005,-31.987
86,2.982105,0.005,-31.987
87,2.982105,0.008,-31.987
88,2.982105,0.008,-31.987
89,2.982105,0.008,-31.987
90,2.982105,0.008,-31.987
91,2.982105,0.008,-31.987
92,2.982105,0.008,-31.987
93,2.982105,0.008,-31.987
94,2.982105,0.008,-31.987
95,2.982105,0.008,-31.987
96,2.982105,0.008,-31.987
97,2.982105,0.008,-31.987
98,2.982105,0.008,-31.987
99,2.982105,0.008,-31.987
100,2.982105,0.008,-31.987
