Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.00199981,0.00201672,0.00199601,5,10,494.855,9.90058 18.1126 
2,0.00200217,0.00202493,0.00199601,5,10,492.844,-26.2977 -35.2298 
3,0.00200279,0.00202493,0.00199602,5,10,492.844,-26.2977 -35.2298 
4,0.00202666,0.00226018,0.00199601,5,10,441.442,-35.1088 19.7667 
5,0.00202535,0.00226018,0.00199601,5,10,441.442,-35.1088 19.7667 
6,0.00208566,0.00258082,0.00199602,5,10,386.473,3.39653 13.6936 
7,0.00218911,0.00307709,0.00199605,5,10,323.982,-35.1088 17.1026 
8,0.00219827,0.00307709,0.00199603,5,10,323.982,-35.1088 17.1026 
9,0.0157724,0.137548,0.00199636,5,10,6.27017,30.9487 -31.9987 
10,0.0493957,0.137548,0.00200476,5,10,6.27017,30.9487 -31.9987 
11,0.0657756,0.298823,0.00202887,5,10,2.34647,-30.9477 -31.8657 
12,0.0745438,0.298823,0.00199612,5,10,2.34647,-30.9477 -31.8657 
13,0.0933715,0.298823,0.00207142,5,10,2.34647,-30.9477 -31.8657 
14,0.0708649,0.305659,0.0020041,5,10,2.27162,-30.9577 -31.8067 
15,0.0836495,0.305659,0.00201063,5,10,2.27162,-30.9577 -31.8067 
16,0.0868618,0.305659,0.00200354,5,10,2.27162,-30.9577 -31.8067 
17,0.149512,0.496944,0.00203097,5,10,1.0123,-31.5077 -31.7767 
18,0.0935654,0.496944,0.00200524,5,10,1.0123,-31.5077 -31.7767 
19,0.131693,0.496949,0.00215276,5,10,1.01228,-31.5077 -31.7837 
20,0.229687,0.499262,0.0020155,5,10,1.00296,-31.5877 -31.8007 
21,0.176335,0.499262,0.00202893,5,10,1.00296,-31.5877 -31.8007 
22,0.0942799,0.499262,0.00199963,5,10,1.00296,-31.5877 -31.8007 
23,0.0697928,0.499262,0.00200469,5,10,1.00296,-31.5877 -31.8007 
24,0.118441,0.499262,0.00769121,5,10,1.00296,-31.5877 -31.8007 
25,0.124955,0.499268,0.00199899,5,10,1.00293,-31.5877 -31.8157 
26,0.111473,0.499268,0.0019961,5,10,1.00293,-31.5877 -31.8157 
27,0.165819,0.499268,0.00201411,5,10,1.00293,-31.5877 -31.8157 
28,0.15518,0.499268,0.00574792,5,10,1.00293,-31.5877 -31.8157 
29,0.173616,0.499268,0.00334909,5,10,1.00293,-31.5877 -31.8157 
30,0.154387,0.499464,0.0046617,5,10,1.00215,-31.5997 -31.8087 
31,0.102256,0.499464,0.0284112,5,10,1.00215,-31.5997 -31.8087 
32,0.110621,0.499464,0.00201392,5,10,1.00215,-31.5997 -31.8087 
33,0.125374,0.499464,0.00199989,5,10,1.00215,-31.5997 -31.8087 
34,0.166481,0.499464,0.00201404,5,10,1.00215,-31.5997 -31.8087 
35,0.125935,0.499464,0.00200429,5,10,1.00215,-31.5997 -31.8087 
36,0.122559,0.500499,0.00201411,5,10,0.998006,-32.1077 -31.9207 
37,0.22046,0.500499,0.00203529,5,10,0.998006,-32.1077 -31.9207 
38,0.268772,0.500499,0.0303726,5,10,0.998006,-32.1077 -31.9207 
39,0.224003,0.500499,0.00992834,5,10,0.998005,-32.1077 -32.0447 
40,0.086712,0.500499,0.00200478,5,10,0.998005,-32.1077 -32.0447 
41,0.281672,0.500499,0.00203463,5,10,0.998005,-32.1077 -32.0447 
42,0.232998,0.500499,0.00217652,5,10,0.998005,-32.1037 -31.9557 
43,0.138245,0.500499,0.00200578,5,10,0.998005,-32.1037 -31.9557 
44,0.207156,0.500499,0.0114943,5,10,0.998005,-32.1037 -31.9557 
45,0.226438,0.500499,0.00561447,5,10,0.998005,-32.1037 -31.9647 
46,0.0846487,0.500499,0.00201265,5,10,0.998005,-32.1037 -31.9647 
47,0.0809473,0.500499,0.00200496,5,10,0.998005,-32.1037 -31.9647 
48,0.0728606,0.500499,0.00199609,5,10,0.998005,-32.1037 -31.9647 
49,0.105851,0.500499,0.00199913,5,10,0.998005,-32.1037 -31.9647 
50,0.112026,0.500499,0.00219796,5,10,0.998005,-32.1037 -31.9647 
51,0.0786578,0.500499,0.00200541,5,10,0.998005,-32.1037 -31.9647 
52,0.142235,0.500499,0.00229237,5,10,0.998005,-32.1037 -31.9647 
53,0.144615,0.500499,0.00199933,5,10,0.998005,-32.1037 -31.9647 
54,0.116964,0.500499,0.00200814,5,10,0.998005,-32.1037 -31.9647 
55,0.174951,0.500499,0.0082582,5,10,0.998005,-32.1037 -31.9647 
56,0.079034,0.500499,0.00199624,5,10,0.998005,-32.1037 -31.9647 
57,0.269235,0.5005,0.00200959,5,10,0.998004,-32.0077 -31.9647 
58,0.212513,0.5005,0.0121337,5,10,0.998004,-32.0077 -31.9647 
59,0.0837414,0.5005,0.00200162,5,10,0.998004,-32.0077 -31.9647 
60,0.194739,0.5005,0.00455961,5,10,0.998004,-32.0077 -31.9647 
61,0.111975,0.5005,0.002009,5,10,0.998004,-32.0077 -31.9647 
62,0.154473,0.5005,0.00328958,5,10,0.998004,-32.0077 -31.9647 
63,0.162052,0.5005,0.0022996,5,10,0.998004,-32.0077 -31.9647 
64,0.104732,0.5005,0.00201492,5,10,0.998004,-32.0077 -31.9647 
65,0.136105,0.5005,0.0019961,5,10,0.998004,-32.0077 -31.9647 
66,0.204499,0.5005,0.00523372,5,10,0.998004,-32.0077 -31.9647 
67,0.238815,0.5005,0.00206587,5,10,0.998004,-32.0077 -31.9717 
68,0.0617374,0.5005,0.00200484,5,10,0.998004,-32.0077 -31.9717 
69,0.177882,0.5005,0.00199612,5,10,0.998004,-32.0077 -31.9717 
70,0.12231,0.5005,0.00201052,5,10,0.998004,-32.0077 -31.9717 
71,0.11678,0.5005,0.00200914,5,10,0.998004,-31.9937 -31.9717 
72,0.258362,0.5005,0.00522687,5,10,0.998004,-31.9937 -31.9717 
73,0.0900239,0.5005,0.00200423,5,10,0.998004,-31.9937 -31.9717 
74,0.133076,0.5005,0.00200555,5,10,0.998004,-31.9937 -31.9717 
75,0.190168,0.5005,0.00200744,5,10,0.998004,-31.9937 -31.9717 
76,0.212152,0.5005,0.00221293,5,10,0.998004,-31.9937 -31.9717 
77,0.114767,0.5005,0.00200923,5,10,0.998004,-31.9937 -31.9717 
78,0.128107,0.5005,0.00200882,5,10,0.998004,-31.9937 -31.9717 
79,0.0629912,0.5005,0.00199609,5,10,0.998004,-31.9937 -31.9717 
80,0.125464,0.5005,0.00200381,5,10,0.998004,-31.9937 -31.9717 
81,0.164497,0.5005,0.00200931,5,10,0.998004,-31.9937 -31.9717 
82,0.157276,0.5005,0.00545901,5,10,0.998004,-31.9937 -31.9717 
83,0.0815086,0.5005,0.0019961,5,10,0.998004,-31.9937 -31.9717 
84,0.183587,0.5005,0.00536042,5,10,0.998004,-31.9937 -31.9717 
85,0.0784631,0.5005,0.00200425,5,10,0.998004,-31.9937 -31.9717 
86,0.0731175,0.5005,0.00199601,5,10,0.998004,-31.9937 -31.9717 
87,0.132034,0.5005,0.0300481,5,10,0.998004,-31.9937 -31.9717 
88,0.197087,0.5005,0.0272656,5,10,0.998004,-31.9937 -31.9717 
89,0.117865,0.5005,0.00200385,5,10,0.998004,-31.9937 -31.9717 
90,0.190369,0.5005,0.0020092,5,10,0.998004,-31.9937 -31.9717 
91,0.135135,0.5005,0.00248553,5,10,0.998004,-31.9937 -31.9717 
92,0.115864,0.5005,0.00200321,5,10,0.998004,-31.9937 -31.9717 
93,0.188042,0.5005,0.00554223,5,10,0.998004,-31.9937 -31.9737 
94,0.218849,0.5005,0.00201029,5,10,0.998004,-31.9937 -31.9737 
95,0.184623,0.5005,0.0134036,5,10,0.998004,-31.9937 -31.9737 
96,0.0982721,0.5005,0.00200387,5,10,0.998004,-31.9937 -31.9737 
97,0.106494,0.5005,0.00245626,5,10,0.998004,-31.9937 -31.9737 
98,0.139176,0.5005,0.00209928,5,10,0.998004,-31.9937 -31.9737 
99,0.173513,0.5005,0.00200432,5,10,0.998004,-31.9937 -31.9737 
100,0.159794,0.5005,0.00200913,5,10,0.998004,-31.9937 -31.9737 
