Generación,Fx,Var1,Var2
1,89.2307,13.9026,-14.4386
2,89.2307,13.9026,-14.4386
3,77.9516,13.9106,-15.2686
4,28.1104,14.5136,16.3126
5,16.5223,14.6096,-16.9756
6,4.53538,15.0876,-32.1847
7,4.53538,15.0876,-32.1847
8,4.53538,15.0876,-32.1847
9,2.66353,-15.0806,-32.6477
10,2.66353,-15.0806,-32.6477
11,2.66353,-15.0806,-32.6477
12,2.66353,-15.0806,-32.6477
13,2.66353,-15.0806,-32.6477
14,2.66353,-15.0806,-32.6477
15,2.66353,-15.0806,-32.6477
16,2.66353,-15.0806,-32.6477
17,2.66353,-15.0806,-32.6477
18,1.9948,-16.0806,-31.6247
19,1.9948,-16.0806,-31.6247
20,1.9948,-16.0806,-31.6247
21,1.9948,-16.0806,-31.6247
22,1.0726,-32.0467,-31.3507
23,1.05255,-32.0467,-31.3837
24,1.05255,-32.0467,-31.3837
25,0.998004,-32.0467,-32.0167
26,0.998004,-32.0467,-32.0167
27,0.998004,-32.0147,-32.0167
28,0.998004,-32.0147,-32.0167
29,0.998004,-32.0147,-32.0167
30,0.998004,-32.0147,-32.0167
31,0.998004,-32.0147,-32.0167
32,0.998004,-32.0147,-32.0167
33,0.998004,-32.0147,-32.0167
34,0.998004,-32.0147,-32.0167
35,0.998004,-32.0147,-32.0167
36,0.998004,-32.0147,-32.0167
37,0.998004,-32.0147,-32.0167
38,0.998004,-32.0147,-32.0167
39,0.998004,-32.0147,-32.0167
40,0.998004,-32.0147,-32.0167
41,0.998004,-32.0147,-32.0167
42,0.998004,-32.0147,-32.0167
43,0.998004,-32.0147,-32.0167
44,0.998004,-32.0147,-32.0167
45,0.998004,-32.0147,-32.0167
46,0.998004,-32.0147,-32.0167
47,0.998004,-32.0147,-32.0167
48,0.998004,-32.0147,-32.0167
49,0.998004,-32.0147,-32.0167
50,0.998004,-32.0147,-32.0167
51,0.998004,-32.0147,-32.0167
52,0.998004,-32.0147,-32.0167
53,0.998004,-32.0147,-32.0167
54,0.998004,-32.0147,-32.0167
55,0.998004,-32.0147,-32.0167
56,0.998004,-32.0147,-32.0167
57,0.998004,-32.0067,-32.0177
58,0.998004,-32.0067,-32.0177
59,0.998004,-32.0067,-32.0177
60,0.998004,-32.0067,-32.0177
61,0.998004,-32.0067,-32.0177
62,0.998004,-32.0067,-32.0177
63,0.998004,-32.0067,-32.0177
64,0.998004,-32.0067,-32.0177
65,0.998004,-32.0067,-32.0177
66,0.998004,-32.0067,-32.0177
67,0.998004,-32.0067,-32.0177
68,0.998004,-32.0067,-32.0177
69,0.998004,-32.0067,-32.0177
70,0.998004,-32.0067,-31.9857
71,0.998004,-32.0067,-31.9857
72,0.998004,-32.0067,-31.9857
73,0.998004,-32.0067,-31.9857
74,0.998004,-32.0067,-31.9857
75,0.998004,-32.0067,-31.9857
76,0.998004,-32.0067,-31.9857
77,0.998004,-32.0067,-31.9857
78,0.998004,-32.0067,-31.9857
79,0.998004,-32.0067,-31.9857
80,0.998004,-32.0067,-31.9857
81,0.998004,-32.0067,-31.9857
82,0.998004,-31.9827,-31.9857
83,0.998004,-31.9827,-31.9857
84,0.998004,-31.9827,-31.9857
85,0.998004,-31.9827,-31.9857
86,0.998004,-31.9827,-31.9857
87,0.998004,-31.9827,-31.9857
88,0.998004,-31.9827,-31.9857
89,0.998004,-31.9827,-31.9857
90,0.998004,-31.9827,-31.9857
91,0.998004,-31.9827,-31.9857
92,0.998004,-31.9827,-31.9857
93,0.998004,-31.9827,-31.9857
94,0.998004,-31.9827,-31.9857
95,0.998004,-31.9827,-31.9857
96,0.998004,-31.9827,-31.9857
97,0.998004,-31.9827,-31.9847
98,0.998004,-31.9827,-31.9847
99,0.998004,-31.9827,-31.9847
100,0.998004,-31.9827,-31.9847
