Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.003321,0.012025,0.001996,5,10,82.160173,18.126 -33.122 
2,0.005817,0.012028,0.002017,5,10,82.140764,18.126 -33.119 
3,0.009021,0.019225,0.002017,5,10,51.014724,17.864 -33.489 
4,0.011578,0.019225,0.002015,5,10,51.014724,17.864 -33.489 
5,0.018483,0.043716,0.011200,5,10,21.874865,17.602 -33.122 
6,0.019376,0.043837,0.002004,5,10,21.811878,17.602 -33.115 
7,0.024781,0.080890,0.001996,5,10,11.362486,30.709 -33.122 
8,0.029305,0.097498,0.002014,5,10,9.256590,30.840 -33.122 
9,0.067330,0.098992,0.002016,5,10,9.101805,30.853 -33.122 
10,0.082922,0.110525,0.002007,5,10,8.047694,30.840 -32.952 
11,0.071332,0.110525,0.002031,5,10,8.047694,30.840 -32.952 
12,0.073433,0.110525,0.001996,5,10,8.047694,30.840 -32.952 
13,0.064074,0.110525,0.002054,5,10,8.047694,30.840 -32.952 
14,0.088765,0.146944,0.002030,5,10,5.805327,32.124 -32.978 
15,0.105925,0.146944,0.002156,5,10,5.805327,32.124 -32.978 
16,0.084310,0.152325,0.002036,5,10,5.564928,32.124 -32.925 
17,0.125120,0.167963,0.021026,5,10,4.953705,31.915 -31.615 
18,0.119482,0.167963,0.001996,5,10,4.953705,31.915 -31.615 
19,0.157049,0.168046,0.144560,5,10,4.950763,31.862 -31.746 
20,0.146831,0.168051,0.049912,5,10,4.950589,31.902 -31.785 
21,0.140994,0.168051,0.002047,5,10,4.950589,31.902 -31.785 
22,0.114594,0.168051,0.002014,5,10,4.950589,31.902 -31.785 
23,0.147295,0.168051,0.002283,5,10,4.950589,31.902 -31.785 
24,0.148022,0.168051,0.005506,5,10,4.950589,31.902 -31.785 
25,0.164583,0.168051,0.151081,5,10,4.950588,31.954 -31.785 
26,0.121999,0.168051,0.001996,5,10,4.950588,31.954 -31.785 
27,0.135380,0.168051,0.002739,5,10,4.950588,31.954 -31.785 
28,0.150732,0.168051,0.002005,5,10,4.950588,31.954 -31.785 
29,0.134425,0.168052,0.002005,5,10,4.950550,31.946 -31.802 
30,0.151519,0.168052,0.003787,5,10,4.950550,31.946 -31.802 
31,0.151513,0.168052,0.003423,5,10,4.950536,31.954 -31.811 
32,0.118225,0.168052,0.001996,5,10,4.950536,31.954 -31.811 
33,0.118226,0.168052,0.001996,5,10,4.950536,31.954 -31.811 
34,0.137413,0.227501,0.002285,5,10,3.395580,-33.159 -31.802 
35,0.147863,0.270927,0.002094,5,10,2.691032,-33.093 -31.802 
36,0.139580,0.277178,0.002004,5,10,2.607793,-33.084 -31.811 
37,0.221255,0.277178,0.167393,5,10,2.607793,-33.084 -31.811 
38,0.172220,0.277178,0.002087,5,10,2.607793,-33.084 -31.811 
39,0.199584,0.277179,0.002349,5,10,2.607782,-33.084 -31.819 
40,0.149282,0.277179,0.002005,5,10,2.607782,-33.084 -31.819 
41,0.192909,0.277179,0.053614,5,10,2.607782,-33.084 -31.819 
42,0.183439,0.290628,0.002006,5,10,2.440828,-33.064 -31.816 
43,0.180139,0.290628,0.002004,5,10,2.440828,-33.064 -31.816 
44,0.174579,0.295118,0.002100,5,10,2.388479,-33.058 -31.816 
45,0.220432,0.295118,0.006719,5,10,2.388479,-33.058 -31.816 
46,0.249384,0.295119,0.002182,5,10,2.388466,-33.058 -31.830 
47,0.189621,0.295119,0.002381,5,10,2.388466,-33.058 -31.830 
48,0.200601,0.500185,0.002014,5,10,0.999260,-31.773 -31.677 
49,0.218034,0.500483,0.001996,5,10,0.998072,-31.904 -32.202 
50,0.287459,0.500483,0.002381,5,10,0.998072,-31.904 -32.202 
51,0.225039,0.500483,0.002365,5,10,0.998072,-31.904 -32.202 
52,0.303570,0.500483,0.001996,5,10,0.998072,-31.904 -32.202 
53,0.261372,0.500483,0.001996,5,10,0.998072,-31.904 -32.202 
54,0.301198,0.500486,0.002030,5,10,0.998060,-31.904 -32.195 
55,0.449308,0.500486,0.003819,5,10,0.998060,-31.904 -32.195 
56,0.351274,0.500486,0.002367,5,10,0.998059,-31.947 -32.195 
57,0.500441,0.500494,0.500251,5,10,0.998025,-31.852 -32.149 
58,0.400252,0.500495,0.002030,5,10,0.998022,-31.862 -32.149 
