Generación,Fx,Var1,Var2
1,79.410140,-33.256,-2.074
2,78.972669,-33.220,-2.074
3,19.218850,30.693,-0.418
4,19.218850,30.693,-0.418
5,15.115745,31.086,-0.418
6,15.115745,31.086,-0.418
7,14.555869,-33.260,-0.110
8,14.555869,-33.260,-0.110
9,14.096090,-33.232,-0.451
10,13.367808,-33.168,-0.764
11,13.367808,-33.168,-0.764
12,13.367808,-33.168,-0.764
13,13.194551,-33.168,-0.503
14,13.194551,-33.168,-0.503
15,10.767012,-31.927,-0.398
16,10.767012,-31.927,-0.398
17,10.767012,-31.927,-0.398
18,10.767012,-31.927,-0.398
19,10.766791,-31.923,-0.395
20,10.766791,-31.923,-0.395
21,10.766791,-31.923,-0.395
22,10.766791,-31.923,-0.395
23,10.766791,-31.923,-0.395
24,10.766791,-31.923,-0.395
25,10.766791,-31.923,-0.395
26,10.766791,-31.949,-0.395
27,10.766791,-31.949,-0.395
28,10.766791,-31.949,-0.395
29,10.766791,-31.949,-0.395
30,10.766791,-31.949,-0.395
31,10.766791,-31.949,-0.395
32,10.763181,-31.954,-0.008
33,10.763181,-31.954,-0.008
34,10.763181,-31.954,-0.008
35,10.763181,-31.954,-0.008
36,10.763181,-31.947,-0.008
37,10.763181,-31.947,-0.008
38,10.763181,-31.945,-0.008
39,10.763181,-31.945,-0.008
40,10.763181,-31.945,-0.008
41,10.763181,-31.945,-0.008
42,10.763181,-31.945,-0.009
43,10.763181,-31.945,-0.009
44,10.763181,-31.945,-0.009
45,10.763181,-31.945,-0.021
46,10.763181,-31.945,-0.021
47,10.763181,-31.945,-0.021
48,10.763181,-31.945,-0.021
49,10.763181,-31.945,-0.021
50,10.763181,-31.945,-0.021
51,10.763181,-31.945,-0.021
52,10.763181,-31.945,-0.026
53,10.763181,-31.945,-0.026
54,10.763181,-31.944,-0.026
55,10.763181,-31.944,-0.026
56,10.763181,-31.944,-0.026
57,10.763181,-31.944,-0.026
58,10.763181,-31.944,-0.026
59,10.763181,-31.944,-0.025
60,10.763181,-31.944,-0.025
61,10.763181,-31.944,-0.025
62,10.763181,-31.944,-0.025
63,10.763181,-31.944,-0.025
64,10.763181,-31.944,-0.025
65,10.763181,-31.944,-0.025
66,10.763181,-31.944,-0.025
67,10.763181,-31.944,-0.025
68,10.763181,-31.944,-0.025
69,10.763181,-31.944,-0.025
70,10.763181,-31.944,-0.025
71,10.763181,-31.944,-0.025
72,10.763181,-31.944,-0.025
73,10.763181,-31.944,-0.025
74,10.763181,-31.944,-0.025
75,10.763181,-31.944,-0.025
76,10.763181,-31.944,-0.025
77,10.763181,-31.944,-0.025
78,10.763181,-31.944,-0.025
79,10.763181,-31.944,-0.025
80,10.763181,-31.944,-0.025
81,10.763181,-31.944,-0.025
82,10.763181,-31.944,-0.025
83,10.763181,-31.944,-0.025
84,10.763181,-31.944,-0.025
85,10.763181,-31.944,-0.025
86,1.605285,-31.603,-32.920
87,1.239162,-31.681,-32.789
88,1.005458,-31.603,-31.609
89,1.005458,-31.603,-31.609
90,1.005458,-31.603,-31.609
91,1.005458,-31.603,-31.609
92,1.005458,-31.603,-31.609
93,1.001549,-31.874,-31.609
94,1.001549,-31.874,-31.609
95,1.001549,-31.874,-31.609
96,0.999795,-31.954,-31.651
97,0.999716,-31.954,-31.654
98,0.999716,-31.954,-31.654
99,0.999716,-31.954,-31.654
100,0.998299,-31.915,-32.258
