Generación,Fx,Var1,Var2
1,10.8303,14.6146,-31.9777
2,10.8303,14.6146,-31.9777
3,10.8303,14.6146,-31.9777
4,7.47985,-15.0846,-15.5846
5,7.47985,-15.0846,-15.5846
6,7.47985,-15.0846,-15.5846
7,7.47985,-15.0846,-15.5846
8,7.47985,-15.0846,-15.5846
9,6.96166,-15.3836,-15.5846
10,6.96166,-15.3836,-15.5846
11,6.96166,-15.3836,-15.5846
12,6.96166,-15.3836,-15.5846
13,6.96166,-15.3836,-15.5846
14,6.96166,-15.3836,-15.5846
15,6.95853,-15.3836,-15.6476
16,6.93012,-15.4676,-15.5896
17,6.91043,-16.3616,-15.5856
18,6.91043,-16.3616,-15.5856
19,6.91043,-16.3616,-15.5856
20,1.99217,-15.8676,-31.7727
21,1.99217,-15.8676,-31.7727
22,1.99215,-15.8676,-31.7797
23,1.99215,-15.8676,-31.7797
24,1.99215,-15.8676,-31.7797
25,1.99215,-15.8676,-31.7797
26,1.99215,-15.8676,-31.7797
27,1.99215,-15.8676,-31.7797
28,1.99209,-15.8456,-31.8087
29,1.99209,-15.8456,-31.8087
30,1.99209,-15.8456,-31.8087
31,1.99209,-15.8456,-31.8087
32,1.99209,-15.8456,-31.8087
33,1.99209,-15.8456,-31.8087
34,1.99209,-15.8456,-31.8087
35,1.99209,-15.8456,-31.8087
36,1.99207,-15.8676,-32.1757
37,1.99207,-15.8676,-32.1757
38,1.99206,-15.8476,-32.1607
39,1.99206,-15.8476,-32.1607
40,1.99206,-15.8476,-32.1607
41,1.99206,-15.8476,-32.1607
42,1.99206,-15.8476,-32.1607
43,1.99206,-15.8476,-32.1607
44,1.99206,-15.8476,-32.1607
45,1.99206,-15.8476,-32.1607
46,1.99206,-15.8476,-32.1607
47,1.99205,-15.8966,-32.1617
48,1.99205,-15.8966,-32.1617
49,1.99203,-15.8966,-32.0317
50,1.99203,-15.8966,-32.0317
51,1.99203,-15.8966,-32.0317
52,1.99203,-15.8966,-32.0317
53,1.99203,-15.8966,-32.0317
54,1.99203,-15.8966,-32.0317
55,1.99203,-15.8966,-32.0317
56,1.99203,-15.8966,-32.0317
57,1.99203,-15.8966,-31.9717
58,1.99203,-16.0966,-31.9707
59,1.99203,-16.0966,-31.9707
60,1.99203,-16.0966,-31.9707
61,1.99203,-16.0966,-31.9707
62,1.42879,-32.0247,-32.8698
63,1.42879,-32.0247,-32.8698
64,1.42879,-32.0247,-32.8698
65,1.42879,-32.0247,-32.8698
66,1.19101,-32.7607,-31.8637
67,1.19101,-32.7607,-31.8637
68,1.19101,-32.7607,-31.8637
69,1.19101,-32.7607,-31.8637
70,1.12423,-32.7087,-32.1367
71,1.11391,-32.6987,-31.8637
72,1.11391,-32.6987,-31.8637
73,1.11391,-32.6987,-31.8637
74,1.11391,-32.6987,-31.8637
75,1.11391,-32.6987,-31.8637
76,1.0855,-32.6667,-31.8637
77,1.0855,-32.6667,-31.8637
78,1.0855,-32.6667,-31.8637
79,1.0855,-32.6667,-31.8637
80,1.0855,-32.6667,-31.8637
81,1.0855,-32.6667,-31.8637
82,0.998538,-32.2847,-32.1187
83,0.998538,-32.2847,-32.1187
84,0.998538,-32.2847,-32.1187
85,0.998536,-32.2847,-32.1057
86,0.998382,-32.2687,-31.8817
87,0.998382,-32.2687,-31.8817
88,0.998351,-32.2237,-31.7537
89,0.998351,-32.2237,-31.7537
90,0.998351,-32.2237,-31.7537
91,0.998351,-32.2237,-31.7537
92,0.998351,-32.2237,-31.7537
93,0.998351,-32.2237,-31.7537
94,0.998279,-32.1937,-31.7537
95,0.998279,-32.1937,-31.7537
96,0.998279,-32.1937,-31.7537
97,0.998279,-32.1937,-31.7537
98,0.998279,-32.1937,-31.7537
99,0.998279,-32.1937,-31.7537
100,0.998217,-32.1937,-31.7667
