Generación,Costo,Permutación
1,2.12168e+06,1 2 12 23 7 14 16 22 25 13 15 24 28 4 27 0 3 29 20 8 21 11 19 6 5 26 18 9 10 17 
2,2.12168e+06,1 2 12 23 7 14 16 22 25 13 15 24 28 4 27 0 3 29 20 8 21 11 19 6 5 26 18 9 10 17 
3,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
4,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
5,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
6,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
7,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
8,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
9,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
10,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
11,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
12,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
13,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
14,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
15,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
16,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
17,2.0904e+06,18 12 4 16 20 21 5 13 27 8 0 25 17 29 1 9 15 14 19 26 7 28 2 22 24 10 11 3 6 23 
18,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
19,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
20,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
21,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
22,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
23,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
24,2.06717e+06,5 1 24 18 4 16 26 19 14 8 29 12 20 9 21 2 7 25 11 28 17 23 22 6 0 27 10 13 3 15 
