Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Inversiones,Costo,Permutación
1,4.55918e-07,4.75005e-07,4.40719e-07,50,100,100,2.10524e+06,27 18 13 8 20 15 12 4 5 25 21 17 19 10 16 0 14 6 28 22 3 2 24 23 26 1 7 29 9 11 
2,4.56183e-07,4.75005e-07,4.39189e-07,50,100,100,2.10524e+06,27 18 13 8 20 15 12 4 5 25 21 17 19 10 16 0 14 6 28 22 3 2 24 23 26 1 7 29 9 11 
3,4.56263e-07,4.75697e-07,4.42053e-07,50,100,100,2.10218e+06,19 21 18 5 11 7 13 17 3 25 8 28 2 20 23 22 6 24 26 16 29 15 0 9 10 27 1 14 12 4 
4,4.56907e-07,4.75697e-07,4.42885e-07,50,100,100,2.10218e+06,19 21 18 5 11 7 13 17 3 25 8 28 2 20 23 22 6 24 26 16 29 15 0 9 10 27 1 14 12 4 
5,4.58313e-07,4.75697e-07,4.42693e-07,50,100,100,2.10218e+06,19 21 18 5 11 7 13 17 3 25 8 28 2 20 23 22 6 24 26 16 29 15 0 9 10 27 1 14 12 4 
6,4.57789e-07,4.75697e-07,4.46227e-07,50,100,100,2.10218e+06,19 21 18 5 11 7 13 17 3 25 8 28 2 20 23 22 6 24 26 16 29 15 0 9 10 27 1 14 12 4 
7,4.58137e-07,4.75697e-07,4.40129e-07,50,100,100,2.10218e+06,19 21 18 5 11 7 13 17 3 25 8 28 2 20 23 22 6 24 26 16 29 15 0 9 10 27 1 14 12 4 
8,4.57451e-07,4.77283e-07,4.40026e-07,50,100,100,2.09519e+06,0 1 20 19 28 11 16 15 27 26 25 6 3 14 21 12 10 29 5 9 13 22 17 24 8 2 7 18 23 4 
9,4.55598e-07,4.77283e-07,4.40471e-07,50,100,100,2.09519e+06,0 1 20 19 28 11 16 15 27 26 25 6 3 14 21 12 10 29 5 9 13 22 17 24 8 2 7 18 23 4 
10,4.57109e-07,4.80851e-07,4.40032e-07,50,100,100,2.07964e+06,22 11 0 18 25 26 7 1 15 16 8 19 23 29 6 20 3 17 24 10 27 28 2 13 21 5 14 12 4 9 
11,4.56038e-07,4.80851e-07,4.40215e-07,50,100,100,2.07964e+06,22 11 0 18 25 26 7 1 15 16 8 19 23 29 6 20 3 17 24 10 27 28 2 13 21 5 14 12 4 9 
12,4.56565e-07,4.80851e-07,4.38248e-07,50,100,100,2.07964e+06,22 11 0 18 25 26 7 1 15 16 8 19 23 29 6 20 3 17 24 10 27 28 2 13 21 5 14 12 4 9 
13,4.56657e-07,4.80851e-07,4.38165e-07,50,100,100,2.07964e+06,22 11 0 18 25 26 7 1 15 16 8 19 23 29 6 20 3 17 24 10 27 28 2 13 21 5 14 12 4 9 
